obs,AH,Y
1970,69.5,735.7
1971,80.6,801.8
1972,77.2,869.1
1973,102.7,978.3
1974,113.6,1071.6
1975,125.6,1187.4
1976,122.3,1302.5
1977,125.3,1435.7
1978,142.5,1608.3
1979,159.1,1793.5
1980,201.4,2009
1981,244.3,2246.1
1982,270.8,2421.2
1983,233.6,2608.4
1984,314.8,2912
1985,280,3109.3
1986,268.4,3285.1
1987,241.4,3458.3
1988,272.9,3748.7
1989,287.1,4021.7
1990,299.4,4285.8
1991,324.2,4464.3
1992,366,4751.4
1993,284,4911.9
1994,249.5,5151.8
1995,250.9,5408.2
1996,228.4,5688.5
1997,218.3,5988.8
1998,276.8,6395.9
1999,158.6,6695
2000,168.5,7194
2001,132.3,7486.8
2002,184.7,7830.1
2003,174.9,8162.5
2004,174.3,8681.6
2005,-34.8,9036.1
