K,L,PK,Y
2381.89990234375,5781.60009765625,1130.59997558594,1246.80004882812
2454.89990234375,5779.2998046875,1175.59997558594,1263.40002441406
2505.89990234375,5576.10009765625,1224.69995117188,1248.19995117188
2565.10009765625,5755.10009765625,1275.5,1325.19995117188
2627.89990234375,5818.5,1327.59997558594,1352.80004882812
2688.60009765625,5756.2001953125,1381.40002441406,1387.40002441406
2757.60009765625,5840,1436.80004882812,1464.19995117188
2831.80004882812,5880.39990234375,1497.40002441406,1524.90002441406
2922,5995.60009765625,1564.09997558594,1608.59997558594
3042.19995117188,6173.89990234375,1633.80004882812,1703.30004882812
3177,6365.5,1706.80004882812,1799.59997558594
3306.89990234375,6393,1783,1844.69995117188
3444.39990234375,6546,1859.30004882812,1921.69995117188
3595.39990234375,6755.7998046875,1929.80004882812,1967.19995117188
3737.80004882812,6751.5,1994,1953.59997558594
3871,6757,2057.60009765625,2009.59997558594
4015.80004882812,6970.2001953125,2121,2113.39990234375
4197.60009765625,7253,2180.39990234375,2229.10009765625
4377.89990234375,7382.2998046875,2240.10009765625,2207
4513.2998046875,7185.2998046875,2295.10009765625,2165.5
4649.2998046875,7408.60009765625,2344.10009765625,2281.80004882812
4813.7998046875,7723.10009765625,2388,2397
5009.39990234375,8131,2440.39990234375,2528.80004882812
5222.7001953125,8447.2001953125,2482.5,2593.60009765625
5420,8495.2998046875,2530,2583.19995117188
5624.5,8598.5,2571,2643.5
5785.7001953125,8479.7998046875,2606.19995117188,2572
5932.7001953125,8564.7998046875,2644,2674.39990234375
6127.5,8990.5,2682,2873.89990234375
6348.2998046875,9240.599609375,2727.89990234375,2973.5
6545.7998046875,9413.2998046875,2772.89990234375,3058
6731.5,9685.5,2824.19995117188,3167.80004882812
6947.89990234375,10009.7001953125,2875.19995117188,3316.69995117188
7158.2001953125,10262.599609375,2929.19995117188,3400.80004882812
