obs,CONS,R,W,Y
1947,976.399963378906,-10.3509998321533,5166.7998046875,1035.19995117188
1948,998.099975585938,-4.71999979019165,5280.7998046875,1090
1949,1025.29992675781,1.04399991035461,5607,1095.59997558594
1950,1090.89990234375,0.406999975442886,5759.5,1192.69995117188
1951,1107.09997558594,-5.28299999237061,6086.099609375,1227
1952,1142.39990234375,-0.276999980211258,6243.89990234375,1266.79992675781
1953,1197.19995117188,0.560999989509583,6355.599609375,1327.5
1954,1221.89990234375,-0.137999996542931,6797,1344
1955,1310.39990234375,0.261999994516373,7172.19970703125,1433.79992675781
1956,1348.79992675781,-0.735999941825867,7375.19970703125,1502.29992675781
1957,1381.79992675781,-0.260999977588654,7315.2998046875,1539.5
1958,1393,-0.574999988079071,7870,1553.69995117188
1959,1470.69995117188,2.22959995269775,8188.099609375,1623.79992675781
1960,1510.79992675781,1.51099991798401,8351.7998046875,1664.79992675781
1961,1541.19995117188,1.29599988460541,8971.8994140625,1720
1962,1617.29992675781,1.39599990844727,9091.5,1803.5
1963,1684,2.05799984931946,9436.099609375,1871.5
1964,1784.79992675781,2.02699995040894,10003.3994140625,2006.89990234375
1965,1897.59997558594,2.11199998855591,10562.7998046875,2131
1966,2006.09997558594,2.01999998092651,10522,2244.59985351562
1967,2066.19995117188,1.21299993991852,11312.099609375,2340.5
1968,2184.19995117188,1.05499994754791,12145.3994140625,2448.19995117188
1969,2264.7998046875,1.73199999332428,11672.2998046875,2524.2998046875
1970,2314.5,1.16599988937378,11650,2630
1971,2405.19995117188,-0.711999952793121,12312.8994140625,2745.2998046875
1972,2550.5,-0.15599998831749,13499.8994140625,2874.2998046875
1973,2675.89990234375,1.41399991512299,13081,3072.2998046875
1974,2653.69995117188,-1.04299998283386,11868.7998046875,3051.89990234375
1975,2710.89990234375,-3.53399991989136,12634.3994140625,3108.5
1976,2868.89990234375,-0.656999945640564,13456.7998046875,3243.5
1977,2992.09985351562,-1.18999993801117,13786.2998046875,3360.69995117188
1978,3124.69995117188,0.112999998033047,14450.5,3527.5
1979,3203.19995117188,1.7039999961853,15340,3628.59985351562
1980,3193,2.2979998588562,15965,3658
1981,3236,4.7039999961853,15965,3741.09985351562
1982,3275.5,4.44899988174438,16312.5,3791.69995117188
1983,3454.39990234375,4.69099998474121,16944.798828125,3906.89990234375
1984,3640.59985351562,5.84799957275391,17526.69921875,4207.599609375
1985,3820.89990234375,4.33099985122681,19068.298828125,4347.7998046875
1986,3981.19995117188,3.76799988746643,20530,4486.599609375
1987,4113.39990234375,2.81899976730347,21235.69921875,4582.5
1988,4279.5,3.28699994087219,22332,4784.099609375
1989,4393.69970703125,4.31799983978271,23659.798828125,4906.5
1990,4474.5,3.59499979019165,23105.099609375,5014.19970703125
1991,4466.599609375,1.80299997329712,24050.19921875,5033
1992,4594.5,1.00699996948242,24418.19921875,5189.2998046875
1993,4748.89990234375,0.625,25092.298828125,5261.2998046875
1994,4928.099609375,2.20599985122681,25218.599609375,5397.19970703125
1995,5075.599609375,3.33299994468689,27439.69921875,5539.099609375
1996,NA,3.08299994468689,29448.19921875,5677.69970703125
1997,NA,3.11999988555908,32664.099609375,5854.5
1998,NA,3.58399987220764,35587,6168.599609375
1999,NA,3.24499988555908,39591.296875,6320
2000,NA,3.57599997520447,38167.69921875,6539.19970703125
