date;C;Y
1959-01-01;1840.5;2092.1
1960-01-01;1891;2147
1961-01-01;1929.9;2222.7
1962-01-01;2025.4;2329
1963-01-01;2108.8;2416.6
1964-01-01;2234.4;2588.2
1965-01-01;2376;2748.9
1966-01-01;2510.6;2895
1967-01-01;2585.6;3020.6
1968-01-01;2734;3157.6
1969-01-01;2836.2;3264.1
1970-01-01;2903;3413.1
1971-01-01;3013.8;3570.4
1972-01-01;3198.7;3741.1
1973-01-01;3357.2;3967.9
1974-01-01;3329.5;3923.9
1975-01-01;3405.1;4020.6
1976-01-01;3595;4144.2
1977-01-01;3746.5;4274.3
1978-01-01;3911.2;4470.7
1979-01-01;4004.1;4558.4
1980-01-01;3991.5;4589.8
1981-01-01;4050.8;4704.8
1982-01-01;4108.4;4803.7
1983-01-01;4342.6;4971.2
1984-01-01;4571.6;5313.9
1985-01-01;4811.9;5476.4
1986-01-01;5014;5688
1987-01-01;5183.6;5811.1
1988-01-01;5400.5;6083.8
1989-01-01;5558.1;6268.8
1990-01-01;5672.6;6393.6
1991-01-01;5685.6;6438.3
1992-01-01;5896.5;6714.4
1993-01-01;6101.4;6823.9
1994-01-01;6338;7010.7
1995-01-01;6527.6;7245.9
1996-01-01;6755.6;7476.1
1997-01-01;7009.9;7751.3
1998-01-01;7384.7;8208.3
1999-01-01;7775.9;8478.1
2000-01-01;8170.7;8902.3
2001-01-01;8382.6;9148.8
2002-01-01;8598.8;9431.8
2003-01-01;8867.6;9691.1
2004-01-01;9208.2;10036.7
2005-01-01;9531.8;10190.5
2006-01-01;9821.7;10596.4
2007-01-01;10041.6;10821.6
2008-01-01;10007.2;10988.3
2009-01-01;9847;10943.7
2010-01-01;10036.3;11055.2
2011-01-01;10263.5;11331.3
2012-01-01;10413.2;11687.8
2013-01-01;10565.4;11527.6
2014-01-01;10868.9;11931
2015-01-01;11214.7;12343.2
