GALIM,GTOTAL
3.95309,1806.817
3313.6498,367617.55
31.62473,3098.1361
101.18045,9552.0544
619.69524,56813.099
1284.4511,115693.85
3472.4279,271820.82
429.94687,30639.481
17.91445,1256.3073
1200.0862,81656.101
619.69524,40532.592
1500.7967,95844.3
363.59098,20612.913
945.33655,52658.017
79.03847,4311.7084
505.85556,25573.988
712.44866,34502.317
1123.1638,53889.651
438.44862,20826.691
210.76926,9937.5965
671.33652,30613.531
841.06834,36531.356
4384.4862,189793.02
411.12147,17381.526
1395.5054,58692.617
503.50239,20936.052
349.33184,14504.171
2521.3831,101786.84
623.89942,23899.495
465.77578,17837.504
2197.4516,83781.279
1121.2999,42231.696
1164.4395,43810.936
757.96004,27805.375
465.77578,17061.477
232.88789,8489.342
994.80102,35789.929
970.05241,34834.724
1007.0048,35573.988
493.34576,17381.526
1164.4395,40991.041
616.49541,21317.269
787.23159,27193.08
660.35709,22787.025
592.27469,20393.78
1233.3644,42291.01
1259.3136,42723.509
1494.3503,50518.999
1114.4915,37387.705
1986.6824,65764.597
834.66868,27574.915
2346.0692,77350.633
1694.5624,55478.529
1548.2338,50456.596
1422.8326,46017.918
465.77578,14861.909
80.94436,2572.5054
1112.0881,35342.601
1082.458,34298.424
876.89725,27400.68
698.66367,21180.105
1397.3273,42032.746
935.84913,28074.761
793.53786,23330.244
1109.7851,32227.371
3061.9232,88032.129
1242.7771,35317.887
399.03683,11280.568
783.74209,22129.132
309.18898,8649.9845
1239.8927,34599.938
1239.8927,34585.11
3452.9347,96151.993
934.41661,25999.794
1226.2291,34045.103
983.28623,27265.987
493.07722,13650.602
1283.0322,35138.091
316.15389,8649.9845
1082.458,29596.54
2014.0095,55057.152
671.33652,18260.117
1548.2338,41980.229
1166.5882,31518.69
1041.2649,28046.133
616.49541,16554.423
1169.8114,31184.43
1274.1528,33911.647
435.58358,11551.025
548.00007,14531.974
542.34196,14367.624
853.58748,22587.581
1342.673,35341.365
1575.5609,41442.076
676.61976,17772.011
994.07111,26070.127
1408.1823,36819.895
872.03213,22684.584
1088.2427,28283.39
1152.7798,29930.8
429.33957,11129.647
1472.7805,38010.504
2323.8572,59919.679
685.00009,17623.417
1781.1217,45662.033
895.11535,22763.258
400.72202,10129.441
692.3574,17490.269
1815.5841,45795.49
2246.8974,56537.535
887.82811,22188.446
742.99433,18559.16
2630.6917,65679.333
1925.3482,48049.428
1909.5359,47111.523
839.17064,20690.145
850.68544,20973.123
493.19633,12158.583
2404.3321,59247.451
1213.3091,29877.87
904.22441,22240.964
1121.2999,27503.862
1548.2338,37948.718
2237.7884,54632.891
817.2564,19899.907
2987.1589,72667.285
2576.0374,62486.253
1130.2805,27383.998
981.8537,23560.91
963.6356,23123.056
698.66367,16667.285
904.22441,21548.965
1602.8881,38064.257
817.2564,19406.24
715.90856,16983.627
1007.0048,23864.69
2157.7807,51134.384
1421.3904,33632.994
931.55156,21923.18
983.28623,23037.38
2102.4374,48909.484
675.76843,15655.236
1562.911,36166.821
1857.4858,42903.923
780.88797,17992.709
644.92031,14832.87
102.78037,2363.6083
1122.3043,25756.565
512.20853,11726.29
1644.1123,37636.083
1370.0002,31268.458
1164.4395,26566.574
890.56083,20305.839
1285.181,29254.866
993.34119,22541.242
3013.7971,68095.768
2052.8515,46205.746
874.61886,19660.797
2260.561,50384.924
685.00009,15243.744
1324.4549,29373.7
957.96776,21187.519
449.9821,9940.3151
655.52415,14448.563
1874.5633,41300.793
793.53786,17401.298
1204.5659,26399.753
1486.4441,32543.095
1484.9843,32474.513
1215.3146,26536.299
1634.5128,35652.765
211.31813,4596.8489
1099.9871,23617.341
1620.3471,34758.727
739.85676,15867.779
496.6706,10618.783
1164.4395,24839.872
828.89261,17624.344
1068.592,22707.857
2219.5703,47032.437
804.32274,17017.3
2334.609,49382.762
941.69293,19886.726
2192.2431,46151.375
1479.589,30970.652
736.39028,15377.51
1904.7009,39724.436
493.57296,10286.067
1329.0095,27500.154
931.55156,19247.451
1050.3739,21662.857
3010.1885,61996.911
1379.1092,28301.926
819.40519,16779.425
2014.0095,40893.42
2637.22,53466.79
944.48523,19138.091
1075.4441,21789.929
1641.6754,33201.524
561.72436,11334.878
589.11222,11887.241
450.51229,9090.207
1119.2912,22502.317
1315.3459,26420.76
698.66367,14011.739
739.85676,14832.664
671.33652,13405.005
1370.0002,27336.423
1575.5609,31369.169
2397.8039,47719.493
2987.1589,59283.287
1342.673,26646.483
1342.673,26633.714
1360.8911,26972.299
419.56657,8309.8107
504.64101,9971.9493
1757.4031,34666.667
325.62263,6413.3457
1593.382,31364.226
1360.8911,26777.881
2219.5703,43571.208
725.6054,14201.421
1468.483,28737.72
615.85545,11981.217
1271.0152,24724.539
1370.0002,26577.695
554.89257,10737.72
1278.2885,24730.8
1561.8973,30158.789
1370.0002,26431.881
1549.2381,29880.754
1678.3413,32339.821
1492.2015,28717.949
1497.9316,28795.799
1164.4395,22383.689
179.14453,3440.4284
1027.5001,19709.917
1312.0527,25063.33
2219.5703,42340.439
1164.4395,22211.925
1301.4799,24724.539
2192.2431,41637.319
803.02527,15230.399
2237.7884,42415.405
1330.4693,25215.323
663.29254,12464.628
2023.4223,37947.482
1203.9704,22554.217
2660.9385,49755.329
2922.9908,54408.815
2945.5611,54776.645
1036.9126,19269.694
271.89795,5041.7053
2106.7349,38912.573
584.87069,10777.881
268.7168,4951.4983
1322.5631,24368.654
772.15729,14189.991
1164.4395,21306.148
1016.9383,18550.51
886.07173,16152.816
2397.8039,43704.665
2233.2339,40647.513
1561.8973,28375.348
1495.0666,27156.421
1073.8628,19396.355
2107.4512,38050.458
67.1792,1212.2335
720.81966,12983.133
1753.7945,31556.379
1137.1123,20439.296
619.41999,11096.871
1575.5609,28200.185
1405.9225,25091.134
1082.2637,19309.484
644.92031,11493.358
671.33652,11959.221
2147.7257,38215.632
506.88793,8998.4554
769.81931,13650.602
404.86664,7172.0729
656.02632,11614.458
341.43499,6035.2178
2102.6709,37086.809
887.55253,15649.305
1263.6112,22248.996
799.26795,14072.701
353.28493,6210.6889
1342.673,23588.508
161.23008,2832.2521
1043.3358,18307.074
1678.3413,29422.922
1263.6112,22147.05
1331.0439,23312.944
2808.9253,49149.212
1835.776,32109.978
802.64691,13998.146
1002.7072,17473.278
1549.2381,26967.254
1038.1273,18054.989
760.4533,13224.591
1808.4488,31401.298
2231.996,38739.821
229.99985,3986.7161
763.77814,13215.941
426.18179,7365.0911
1356.3366,23373.494
1638.8104,28181.032
1543.9362,26376.274
801.44404,13679.333
1011.7111,17253.939
1050.3739,17910.823
852.83422,14476.676
1875.9958,31816.497
1548.2338,26237.051
1027.5001,17401.298
1000.0718,16910.308
454.9909,7689.2184
1043.3358,17602.41
2260.561,38085.882
582.21973,9791.1647
1703.5197,28645.66
1811.3275,30452.888
1004.856,16885.079
1173.0346,19697.251
764.49167,12836.577
1781.1217,29906.704
1046.0826,17540.315
969.27817,16250.541
1011.8579,16959.324
2637.22,44169.293
322.46016,5397.5904
559.64562,9364.2261
1365.796,22848.934
890.56083,14895.273
2157.7807,36046.339
1283.2618,21283.905
1893.268,31400.68
1808.4488,29990.732
1167.3045,19356.606
1047.54,17365.153
2578.9571,42735.867
656.02632,10850.479
582.21973,9618.165
677.09391,11160.951
2021.2268,33301.205
1444.7644,23796.108
589.11222,9688.7241
1264.6156,20794.563
2710.8513,44574.606
829.7685,13639.79
1543.9362,25371.023
1431.7898,23516.219
569.27787,9329.1319
610.68198,9992.5857
1370.0002,22412.728
2164.916,35317.887
852.83422,13847.39
1472.7805,23909.175
3274.7011,53099.784
1543.9362,25030.584
1283.0322,20795.181
1610.0234,26079.703
1085.471,17580.888
1753.1055,28391.721
1123.4487,18192.771
1318.61,21284.523
2842.7807,45878.591
2192.2431,35368.551
2447.4716,39450.726
658.41686,10604.881
1832.3227,29459.994
941.95101,15123.88
698.66367,11205.437
1472.7805,23598.702
1664.6777,26643.806
1492.2015,23844.3
1370.0002,21879.518
2192.2431,35004.016
1753.7945,27997.529
746.10076,11900.834
552.46001,8806.3021
3685.8226,58703.12
2587.5522,41124.498
1157.1288,18368.86
1555.451,24654.927
1681.9499,26643.806
821.81792,13007.352
2014.0095,31869.015
1342.673,21239.419
2014.0095,31851.715
2328.8789,36818.865
1123.4487,17747.915
1776.8241,28053.136
2068.6639,32649.985
1755.2543,27645.968
1096.1216,17250.541
1575.5609,24711.77
1575.5609,24711.77
1841.5334,28871.177
1549.2381,24275.564
3277.6208,51320.358
993.34119,15550.201
1109.7851,17364.226
1356.3366,21212.851
931.55156,14563.691
1164.4395,18176.089
1587.0757,24696.324
933.70035,14517.763
2192.2431,34056.225
685.00009,10637.01
1072.0585,16635.568
763.36153,11843.373
1400.1924,21704.047
1370.0002,21171.043
1868.8332,28754.608
808.377,12437.854
690.03577,10615.261
817.48606,12575.43
408.6282,6281.7424
2274.2246,34931.109
790.38472,12129.132
843.56987,12934.198
780.763,11964.164
1575.5609,24120.358
887.55253,13578.004
1459.117,22307.692
4743.7092,72496.756
1283.0322,19603.954
1664.6777,25426.012
465.77578,7111.523
1683.5965,25677.479
622.4669,9492.3283
902.79188,13759.654
550.18622,8380.5993
1205.6325,18347.853
2289.4062,34834.724
2397.8039,36467.099
513.21287,7799.8146
1100.1599,16682.113
1026.4258,15557.924
2740.0004,41524.869
746.96028,11314.798
2157.7807,32647.822
1074.8672,16257.44
1050.3739,15850.891
776.29297,11707.136
1445.4534,21752.24
1181.6707,17770.158
787.78046,11841.211
904.22441,13555.762
537.06921,8049.4285
1315.3459,19697.868
3165.3925,47352.487
3356.6826,50205.437
4028.0191,60211.307
1370.0002,20467.099
856.79665,12793.327
1461.4954,21821.028
1178.2244,17580.476
2221.0301,33122.027
1328.888,19817.115
1007.0048,14993.204
1401.6249,20861.909
1888.8886,28090.207
2237.7884,33271.96
1172.9412,17401.298
2121.7764,31406.858
1661.1101,24573.988
733.03045,10836.206
560.64997,8283.39
811.72208,11982.7
924.74312,13645.968
2568.9021,37754.093
2338.3927,34347.853
901.87123,13227.989
1304.9464,19126.969
684.28383,9991.1441
1575.5609,23000.309
787.78046,11499.846
904.22441,13140.068
902.47093,13111.214
1650.3824,23933.272
3809.4018,55235.094
661.28155,9587.4781
1692.7348,24531.974
1342.673,19381.526
1549.2381,22346.617
1781.1217,25677.479
1445.4534,20830.399
1815.5841,26160.643
2643.3043,38054.989
727.98544,10480.568
2785.9776,40012.975
933.70035,13408.094
700.81246,10033.982
1808.4488,25871.486
1164.4395,16645.042
194.07324,2772.526
1588.9968,22697.559
1853.1416,26402.224
1576.2908,22435.897
1781.1217,25339.512
1096.0002,15573.267
1457.6899,20710.782
904.22441,12839.049
1045.4006,14831.016
891.56517,12637.318
1656.0826,23456.287
584.36851,8271.8567
1331.0439,18835.959
1142.4399,16166.821
1947.895,27541.963
1155.8115,16340.562
2438.7946,34448.563
817.2564,11522.397
1267.2198,17859.129
2397.8039,33773.247
1089.6752,15310.061
746.10076,10482.237
680.38484,9547.3587
1227.6889,17189.579
1116.5562,15603.336
