obs,XGS,REER,WGDP
1970,2225.123046875,100.49587577538,104.199999809265
1971,2541.09106445312,101.909401997613,109.409999799728
1972,2881.59692382812,107.14626920384,115.64636957963
1973,3169.75708007812,108.713459863754,123.972907968785
1974,3138.05908203125,108.00389768881,127.072230668005
1975,3125.50708007812,105.990206651906,128.851241867061
1976,3281.78198242188,105.205733468484,135.551506198384
1977,3678.8779296875,102.204654988592,141.380221223458
1978,4072.51806640625,104.650647688811,147.600951092121
1979,4300.5791015625,112.315431971598,152.914585190674
1980,4399.48583984375,108.372697844025,156.278706137784
1981,4761.38720703125,102.670924933143,159.091722773745
1982,4997.19091796875,101.849392826611,160.205364814196
1983,5495.076171875,94.6342022748124,164.691114952601
1984,6137.423828125,98.8965926307063,171.937524167578
1985,6300.11376953125,99.6112814916159,177.955337513443
1986,6416.94482421875,105.077867147904,183.293997638846
1987,6823.06201171875,109.642608634503,189.709287556206
1988,7169.212890625,112.432703442617,198.0564963896
1989,7384.03271484375,115.749963217975,204.394304368507
1990,7621.504,123.969629423871,209.912950586457
1991,8221.078,125.469538536547,213.691383697013
1992,8828.275,128.939052932971,219.67474244053
1993,9579.586,114.520445303241,225.825635228865
1994,11181.767,109.674711669303,235.084486273248
1995,12299.895,116.02126888534,243.782612265358
1996,13604.854,121.631204264578,253.777699368238
1997,15611.863,116.142901251816,264.436362741704
