"","date","RAAPL","RM.RF","SMB","HML","RF","RAAPL.RF"
"1",1981-01-02,0.0109283570436973,0.56,0.22,0.62,0.049,-0.0380716429563027
"2",1981-01-05,-0.0219774638870158,0.95,-0.24,0.93,0.049,-0.0709774638870158
"3",1981-01-06,-0.045466232817519,0.05,0.19,0.85,0.049,-0.094466232817519
"4",1981-01-07,-0.0435684643747199,-2.65,-1.28,1.78,0.049,-0.0925684643747199
"5",1981-01-08,-0.0204492613924083,-1.37,0.7,0.62,0.049,-0.0694492613924083
"6",1981-01-09,0.0523224214356777,0.37,0.66,-0.35,0.049,0.0033224214356777
"7",1981-01-12,-0.00787355645390494,0.02,0.38,0.45,0.049,-0.0568735564539049
"8",1981-01-13,-0.0362189121114053,-0.33,0.16,0.05,0.049,-0.0852189121114053
"9",1981-01-14,0.00408971546282762,0.27,0.22,-0.35,0.049,-0.0449102845371724
"10",1981-01-15,0.0202013907476315,0.5,0.01,-0.46,0.049,-0.0287986092523685
"11",1981-01-16,-0.00803165143960151,0.49,-0.05,-0.09,0.049,-0.0570316514396015
"12",1981-01-19,0.0587215769455844,-0.25,0.3,0.17,0.049,0.0097215769455844
"13",1981-01-20,-0.030888563151132,-1.89,0.64,0.55,0.049,-0.079888563151132
"14",1981-01-21,0.0194168695658532,-0.36,-0.01,0.33,0.049,-0.0295831304341468
"15",1981-01-22,0.0114716935852787,-0.83,0.43,0.08,0.049,-0.0375283064147213
"16",1981-01-23,-0.00380929435807657,-0.05,0.23,-0.19,0.049,-0.0528092943580766
"17",1981-01-26,-0.015383964461605,-0.51,-0.17,0.34,0.049,-0.064383964461605
"18",1981-01-27,-0.0077816520693542,1.01,-0.45,-0.3,0.049,-0.0567816520693542
"19",1981-01-28,-0.0317466660565488,-0.46,0.42,0.34,0.049,-0.0807466660565488
"20",1981-01-29,-0.0369627453255144,-0.08,0.3,0.43,0.049,-0.0859627453255144
"21",1981-01-30,-0.0559326001965553,-0.48,0.35,0.95,0.049,-0.104932600196555
"22",1981-02-02,-0.0592389620321619,-2.25,-0.18,1.78,0.056,-0.115238962032162
"23",1981-02-03,0.0368680994273737,1.08,-0.93,-0.49,0.056,-0.0191319005726263
"24",1981-02-04,0.0355570358776945,0.21,0.48,-0.17,0.056,-0.0204429641223055
"25",1981-02-05,0,0.94,0.1,-0.25,0.056,-0.056
"26",1981-02-06,0.00435703318323358,0.77,0.15,-0.44,0.056,-0.0516429668167664
"27",1981-02-09,-0.0535808151011566,-0.99,0.68,0.54,0.056,-0.109580815101157
"28",1981-02-10,0,-0.14,0.04,0.12,0.056,-0.056
"29",1981-02-11,-0.032634747659173,-0.74,0.42,0.54,0.056,-0.088634747659173
"30",1981-02-12,-0.00953180550061125,-0.66,0.03,0.55,0.056,-0.0655318055006112
"31",1981-02-13,-0.0242127870584981,-0.31,0.07,-0.09,0.056,-0.0802127870584981
"32",1981-02-17,0.0242127870584981,0.43,-0.58,-0.05,0.056,-0.0317872129415019
"33",1981-02-18,0.0421665531597842,0.45,-0.26,-0.48,0.056,-0.0138334468402158
"34",1981-02-19,-0.0614896548770643,-1.47,0.35,0.53,0.056,-0.117489654877064
"35",1981-02-20,-0.0551483505214383,-0.19,-0.2,0.5,0.056,-0.111148350521438
"36",1981-02-23,0.0153445850079144,0.53,-0.33,-0.12,0.056,-0.0406554149920856
"37",1981-02-24,-0.0361773106537639,0.17,0.19,-0.12,0.056,-0.0921773106537639
"38",1981-02-25,0.0612397031982235,0.7,-0.75,-0.22,0.056,0.0052397031982235
"39",1981-02-26,0.0147413729690644,1.17,0.13,-0.7,0.056,-0.0412586270309356
"40",1981-02-27,0.033582727928597,0.95,0.13,-0.49,0.056,-0.022417272071403
"41",1981-03-02,0.00470557356132214,0.6,0.06,-0.43,0.055,-0.0502944264386779
"42",1981-03-03,-0.0141836734932491,-0.92,0.74,0.54,0.055,-0.0691836734932491
"43",1981-03-04,-0.00957740998822415,0.14,-0.01,0.3,0.055,-0.0645774099882241
"44",1981-03-05,-0.00481899509340677,-0.51,0.64,0.19,0.055,-0.0598189950934068
"45",1981-03-06,-0.00970822291503897,-0.09,0.43,0.17,0.055,-0.064708222915039
"46",1981-03-09,-0.0812577839511599,0.72,-0.29,-0.52,0.055,-0.13625778395116
"47",1981-03-10,-0.0487968012127619,-0.46,-0.06,0.59,0.055,-0.103796801212762
"48",1981-03-11,-0.0396628394293558,-0.32,0.04,0.35,0.055,-0.0946628394293558
"49",1981-03-12,0.0396628394293558,2.23,-0.98,-0.68,0.055,-0.0153371605706442
"50",1981-03-13,-0.0111726294344381,0.03,0.24,0.49,0.055,-0.0661726294344381
"51",1981-03-16,0.0385796756964863,1.01,-0.28,-0.07,0.055,-0.0164203243035137
"52",1981-03-17,0.0474991883804351,-0.45,0.32,0.71,0.055,-0.0075008116195649
"53",1981-03-18,0.0600142431317137,0.23,0.22,0.29,0.055,0.0050142431317137
"54",1981-03-19,-0.00975557795149326,-0.5,0.89,0.6,0.055,-0.0647555779514933
"55",1981-03-20,0.00975557795149336,0.63,0.42,-0.27,0.055,-0.0452444220485066
"56",1981-03-23,0.0381059436829467,1.02,-0.37,-0.99,0.055,-0.0168940563170533
"57",1981-03-24,-0.00468353480330275,-0.6,0.48,-0.3,0.055,-0.0596835348033028
"58",1981-03-25,-0.018965199772639,1.54,-0.59,-0.46,0.055,-0.073965199772639
"59",1981-03-26,-0.0193231017172801,-0.45,0.52,0.1,0.055,-0.0743231017172801
"60",1981-03-27,-0.0347407851486834,-1.01,0.68,0.08,0.055,-0.0897407851486834
"61",1981-03-30,0,-0.3,0.22,-0.07,0.055,-0.055
"62",1981-03-31,-0.0101517249991627,1.05,-0.18,-0.1,0.055,-0.0651517249991627
"63",1981-04-01,-0.0102558403735924,0.49,0.18,0,0.051,-0.0612558403735924
"64",1981-04-02,0.0840032577393297,-0.08,0.4,0.2,0.051,0.0330032577393297
"65",1981-04-03,0.00472782071070562,-0.48,0.64,0.25,0.051,-0.0462721792892944
"66",1981-04-06,-0.0190555099201512,-1.11,0.34,0.15,0.051,-0.0700555099201512
"67",1981-04-07,-0.00966132539817051,-0.04,0.33,0.24,0.051,-0.0606613253981705
"68",1981-04-08,0.0474077160630876,0.32,0.02,0.22,0.051,-0.0035922839369124
"69",1981-04-09,0.018347931936322,0.37,0.22,0.45,0.051,-0.032652068063678
"70",1981-04-10,0.013543348467545,0.03,0.56,-0.14,0.051,-0.037456651532455
"71",1981-04-13,0,-1.05,0.47,0.33,0.051,-0.051
"72",1981-04-14,0,-0.56,0.05,0.73,0.051,-0.051
"73",1981-04-15,-0.050582161148633,1.01,-0.12,-0.39,0.051,-0.101582161148633
"74",1981-04-16,-0.0582738107597427,0.44,0.43,-0.43,0.051,-0.109273810759743
"75",1981-04-20,0.0295569754414209,0.54,0.03,-0.33,0.051,-0.0214430245585791
"76",1981-04-21,0.0657556479994097,-0.95,0.57,0.38,0.051,0.0147556479994097
"77",1981-04-22,0.0357157961587448,-0.08,0.17,0.38,0.051,-0.0152842038412552
"78",1981-04-23,0.0259738741644333,-0.03,0.59,-0.02,0.051,-0.0250261258355667
"79",1981-04-24,-0.00858321554390321,0.72,-0.18,-0.15,0.051,-0.0595832155439032
"80",1981-04-27,-0.00865752541073884,0.2,-0.24,0.06,0.051,-0.0596575254107388
"81",1981-04-28,-0.0175432064561401,-0.95,-0.28,0.63,0.051,-0.0685432064561401
"82",1981-04-29,-0.0133623744448509,-0.94,0.14,0.2,0.051,-0.0643623744448509
"83",1981-04-30,0.0177771132104739,0.01,0.22,-0.42,0.051,-0.0332228867895261
"84",1981-05-01,0,-0.17,0.03,-0.29,0.057,-0.057
"85",1981-05-04,-0.00441473876562295,-1.53,-0.35,0.44,0.057,-0.061414738765623
"86",1981-05-05,-0.00443431514050884,-0.41,-0.37,-0.35,0.057,-0.0614343151405088
"87",1981-05-06,-0.0270269267572874,0.4,-0.05,-0.4,0.057,-0.0840269267572874
"88",1981-05-07,0.0136047674460419,0.7,-0.24,-0.35,0.057,-0.0433952325539581
"89",1981-05-08,0.00896809340635011,0.08,0.36,0.08,0.057,-0.0480319065936499
"90",1981-05-11,-0.022572860852392,-1.42,0.32,0.73,0.057,-0.079572860852392
"91",1981-05-12,0,0.65,-0.65,0.16,0.057,-0.057
"92",1981-05-13,-0.0045763667472204,-0.04,0.59,-0.16,0.057,-0.0615763667472204
"93",1981-05-14,-0.013856117061586,0.56,0,0.2,0.057,-0.070856117061586
"94",1981-05-15,0.0229880027942067,0.61,-0.17,0.25,0.057,-0.0340119972057933
"95",1981-05-18,0.0180173418669917,0.16,0.05,-0.33,0.057,-0.0389826581330083
"96",1981-05-19,-0.0180173418669917,-0.32,0.06,-0.02,0.057,-0.0750173418669917
"97",1981-05-20,0.031320461678019,0.1,0.46,-0.39,0.057,-0.025679538321981
"98",1981-05-21,0.0556929516708041,-0.11,0.33,0.11,0.057,-0.0013070483291959
"99",1981-05-22,0.0448110707749598,-0.01,0.39,-0.11,0.057,-0.0121889292250402
"100",1981-05-26,-0.00399176424971572,0.88,-0.5,-0.38,0.057,-0.0609917642497157
