HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
4;Norway;0.9537;82.2710;12.5668;68058.6161;5.3380;82.2000;0.3009;3.4911;0.9101;26.8330;26.0680;1.6800;61.0000;63.5000;2.0000;78.7000;3.9000;9.7000;4.8500;14.4433
4;Switzerland;0.9459;83.6300;13.3808;59374.7340;8.5256;73.8000;0.4444;5.6666;1.5877;22.4340;28.0190;1.5350;64.9000;68.3000;3.1000;76.6000;4.9000;7.9000;6.0400;12.9742
4;Ireland;0.9425;82.1030;12.5263;55659.6790;4.8187;63.2000;0.3290;3.1190;0.6682;33.0710;21.4220;1.8409;58.0000;61.5000;5.0000;76.5000;5.7000;13.5000;10.0700;5.1852
4;Germany;0.9388;81.1800;14.1322;46945.9499;83.1244;77.3000;3.8689;53.9619;17.8401;20.9820;33.0610;1.5860;58.5000;60.6000;1.3000;71.6000;3.4000;6.4000;5.9000;5.7917
4;Hong Kong-China;0.9388;84.6870;12.0381;60220.7968;7.3717;100.0000;0.3197;5.2504;1.2440;16.7090;23.6930;1.3262;58.6000;60.3000;0.2000;88.0000;2.8000;8.0000;6.1000;1.9270
4;Australia;0.9384;83.2810;12.6830;44097.0193;24.8982;86.0000;1.6271;16.2219;3.8982;29.4550;24.0300;1.8316;61.5000;65.0000;2.6000;78.1000;5.4000;12.2000;8.9400;5.6633
4;Iceland;0.9385;82.8550;12.5367;47566.4547;0.3367;93.8000;0.0210;0.2201;0.0498;30.3370;22.6320;1.7700;74.1000;76.3000;3.7000;79.0000;2.9000;7.3000;4.8700;9.9000
4;Sweden;0.9366;82.6540;12.4260;47955.4472;9.9716;87.4000;0.5912;6.2146;2.0039;28.2110;32.2440;1.8500;60.2000;64.3000;1.8000;80.2000;6.4000;17.0000;6.1300;11.2934
4;Singapore;0.9348;83.4580;11.4965;83792.6743;5.7575;100.0000;0.2361;4.3906;0.6600;16.1010;15.0320;1.2090;65.7000;68.3000;0.5000;82.9000;3.8000;8.6000;4.2900;7.5776
4;Netherlands;0.9335;82.1430;12.1900;50012.5936;17.0596;91.5000;0.8728;11.0368;3.2748;24.8980;29.6720;1.6600;60.9000;63.4000;2.3000;81.4000;3.9000;7.0000;4.1800;5.4810
4;Denmark;0.9299;80.7840;12.5878;48836.0938;5.7521;87.9000;0.2934;3.6658;1.1397;25.8250;31.0890;1.7621;58.9000;62.0000;2.2000;79.2000;5.0000;9.2000;6.8300;4.2421
4;Finland;0.9252;81.7360;12.4396;41779.2649;5.5226;85.4000;0.2787;3.4314;1.1995;25.9840;34.9580;1.5300;54.0000;58.5000;3.7000;74.3000;7.8000;17.3000;8.5200;7.8323
4;Canada;0.9221;82.3150;13.3154;43602.2493;37.0746;81.4000;1.9543;24.8020;6.3887;23.7230;25.7590;1.5250;61.4000;65.2000;1.5000;79.0000;5.9000;11.6000;12.8400;5.4701
4;New Zealand;0.9209;82.1450;12.6782;35107.5002;4.7431;86.5000;0.3008;3.0685;0.7424;30.3790;24.1940;1.9000;66.8000;70.0000;6.2000;73.4000;4.5000;12.2000;11.9200;7.6967
4;United Kingdom;0.9204;81.2360;12.9507;39507.2860;67.1417;83.4000;3.9769;42.9210;12.3513;27.6540;28.7770;1.7500;59.9000;62.3000;1.2000;80.8000;4.0000;11.2000;10.4500;5.7486
4;United States;0.9199;78.8510;13.4134;56140.2335;327.0963;82.3000;19.5115;214.1935;51.7062;28.5710;24.1400;1.7764;59.6000;62.0000;1.4000;79.1000;3.9000;8.2000;13.6500;4.8053
4;Belgium;0.9188;81.4680;11.7839;43820.8420;11.4822;98.0000;0.6369;7.3665;2.1574;26.5840;29.2860;1.7148;49.9000;53.3000;1.2000;78.2000;6.3000;17.6000;9.1500;4.9212
4;Liechtenstein;0.9167;80.5370;12.5485;99732.1420;0.0379;14.3000;;;;;;;;;;;;;;
4;Japan;0.9147;84.4700;12.8000;40799.0143;127.2022;91.6000;5.0511;75.9738;35.0777;21.2580;46.1710;1.3697;59.3000;60.7000;3.4000;72.1000;2.5000;3.7000;3.2700;3.5409
4;Austria;0.9138;81.4340;12.5585;46230.5717;8.8914;58.3000;0.4336;5.9306;1.6895;21.4360;28.4880;1.5292;57.3000;60.2000;3.9000;71.4000;4.8000;9.2000;6.8300;5.0787
4;Luxembourg;0.9087;82.1020;12.1958;65543.0517;0.6042;91.0000;0.0329;0.4226;0.0857;22.7040;20.2800;1.4500;54.9000;58.1000;1.4000;88.1000;5.5000;14.7000;5.2800;7.3182
4;Israel;0.9062;82.8190;12.9592;33649.6895;8.3815;92.4000;0.8456;5.0371;1.0039;46.4660;19.9290;3.0440;61.5000;64.1000;1.0000;81.7000;4.0000;6.9000;14.8500;8.2679
4;Korea;0.9058;82.8460;12.1850;36757.0236;51.1717;81.5000;2.0599;37.1548;7.3782;17.8680;19.8580;1.1100;60.6000;63.0000;4.7000;70.3000;3.8000;10.1000;;2.9353
4;Slovenia;0.9016;81.1720;12.2734;32143.0424;2.0778;54.5000;0.1042;1.3583;0.4074;22.9790;29.9930;1.6000;54.8000;58.0000;5.5000;61.4000;5.5000;10.2000;6.6200;5.9571
4;Spain;0.8928;83.4330;9.8195;35041.2999;46.6929;80.3000;2.0255;30.7960;9.0484;22.2380;29.3820;1.3300;48.5000;57.3000;4.3000;75.8000;15.5000;34.3000;12.4400;2.5890
4;Czechia;0.8908;79.2220;12.7404;31597.0711;10.6657;73.8000;0.5445;6.9319;2.0714;23.9820;29.8820;1.6413;58.8000;60.2000;2.8000;59.4000;2.4000;8.0000;5.6300;7.0070
4;France;0.8911;82.5410;11.4170;40510.7808;64.9905;80.4000;3.7344;40.2999;13.0206;28.9580;32.3090;1.8523;50.0000;55.1000;2.6000;77.1000;9.2000;20.9000;11.0700;4.6521
4;Malta;0.8853;82.3760;11.2881;34795.1786;0.4392;94.6000;0.0216;0.2872;0.0894;21.8390;31.1280;1.4500;52.2000;54.7000;1.0000;79.4000;4.6000;10.2000;7.2700;5.3684
4;Italy;0.8826;83.3520;10.2451;36141.4283;60.6273;70.4000;2.4425;38.7525;13.7937;20.8530;35.5940;1.3300;43.9000;48.9000;3.8000;70.4000;10.2000;31.5000;19.1900;3.2933
4;Estonia;0.8815;78.5670;13.0290;30378.6298;1.3229;68.9000;0.0680;0.8469;0.2596;25.5510;30.6580;1.5878;59.9000;63.4000;3.5000;66.7000;5.5000;11.5000;9.8500;5.7778
4;Cyprus;0.8730;80.8280;12.1039;33100.3186;1.1893;66.8000;0.0655;0.8265;0.1632;24.1580;19.7420;1.3375;57.1000;62.2000;2.5000;80.5000;8.1000;18.1000;13.2100;2.6981
4;Greece;0.8720;82.0720;10.5396;24909.3401;10.5222;79.1000;0.4269;6.7630;2.2786;21.8930;33.6920;1.3024;42.7000;52.8000;12.0000;72.7000;19.2000;39.5000;14.0900;4.3893
4;Poland;0.8718;78.5440;12.2940;27625.7954;37.9216;60.1000;1.8432;25.5705;6.6430;22.3230;25.9790;1.4202;54.8000;56.9000;10.1000;58.4000;3.7000;11.4000;8.6600;6.4722
4;Lithuania;0.8693;75.7370;12.9610;29775.2629;2.8013;67.7000;0.1492;1.8324;0.5520;22.7520;30.1240;1.6698;57.4000;61.0000;7.7000;67.3000;6.0000;12.5000;8.0400;4.6400
4;United Arab Emirates;0.8664;77.8140;10.9541;66911.6629;9.6310;86.5000;0.5020;8.1200;0.1045;17.3210;1.2870;1.4200;80.9000;83.0000;3.7000;72.9000;2.6000;7.8000;11.3100;1.8579
4;Andorra;0.8568;81.7860;10.1555;48640.8942;0.0770;88.1000;;;;;;;;;;;;;;
4;Saudi Arabia;0.8570;74.9980;9.6715;49338.4096;33.7028;83.8000;3.0076;24.1457;1.1169;34.9550;4.6260;2.3400;53.2000;56.5000;4.9000;70.7000;5.9000;25.8000;16.1000;
4;Slovakia;0.8569;77.3880;12.6056;30671.8728;5.4530;53.7000;0.2817;3.7585;0.8523;22.4100;22.6760;1.5020;55.7000;59.7000;2.7000;60.3000;6.8000;18.2000;10.1900;4.1436
4;Latvia;0.8539;75.1720;12.8254;26300.7687;1.9285;68.1000;0.1073;1.2335;0.3865;25.0090;31.3370;1.7167;56.3000;61.1000;6.8000;70.1000;7.9000;14.7000;7.8400;3.1897
