HDI,LifExp,Educ,GNIpc
0.957,82.4,18.06615,66494.25217
0.955,82.31,18.70529,68370.58737
0.955,83.78,16.32844,69393.52076
0.949,84.86,16.92947,62984.76553
0.949,82.99,19.08309,54682.38057
0.947,81.33,16.97719,55314.35355
0.945,82.8,19.48234,54507.80504
0.944,83.44,21.95433,48084.84207
0.944,82.28,18.48513,57707.06867
0.94,80.9,18.89342,58661.87084
0.938,81.91,19.39712,48511.3978
0.938,83.62,16.44088,88155.21431
0.932,81.32,17.49843,46070.64481
0.931,81.63,19.77438,52084.59209
0.931,82.29,18.83857,40798.7196
0.929,82.43,16.15789,48527.03573
0.926,78.86,16.31039,63825.65748
0.922,81.54,16.09207,56196.89869
0.919,82.97,16.16283,40186.84583
0.919,84.63,15.23057,42931.69575
0.919,80.67,14.90233,131031.5898
0.917,81.32,17.57206,38079.53399
0.916,83.03,16.48165,43043.71057
0.916,82.25,14.25582,72711.67412
0.904,83.57,17.61613,40974.52408
0.901,82.66,15.64217,47172.53748
0.9,79.38,16.78511,38108.56662
0.895,82.53,16.10407,39554.52078
0.892,78.75,15.989,36019.26692
0.892,83.51,16.0889,42776.35692
0.89,77.97,14.3441,67462.0953
0.888,82.24,17.90792,30154.63438
0.887,80.98,15.16887,38206.84049
0.882,75.93,16.63731,35798.67041
0.88,78.73,16.30117063,31622.55302
0.868,81.91,13.30023874,56000.30336
0.866,75.29,16.16769,30282.39353
0.864,82.05,16.53579,33966.82756
0.86,77.54,14.48704,32113.04569
0.854,76.88,15.20418,31328.80599
0.854,75.13,16.13575,47495.42697
0.852,77.29,16.25482,42521.70451
0.851,80.18,16.44755,23261.29726
0.851,78.49,15.22672,28069.84837
0.848,80.23,12.03595,92418.23036
0.845,76.67,17.6542,21190.17661
0.838,75.86,14.31391,63965.09279
0.829,76.88,14.99968,21399.24713
0.828,76.05,14.25988,29497.23164
0.826,73.93,15.7967036,19316.97453
0.825,73.6,15.61293,22857.46082
0.824,72.58,15.02735,26157.04711
0.823,74.79,15.40479,18546.48713
0.82,77.69,16.60266555,27700.89481
0.817,77.91,16.83564,20063.64222
0.816,75.05,14.41442,23324.6574
0.815,78.51,12.90561,29557.66834
0.814,73.92,12.89945,33747.21264
0.814,79.19,15.39288672,14935.90942
0.813,77.86,14.18214,25944.07218
0.812,73.77,15.27506,14428.79984
0.81,80.28,15.65154,18486.37141
0.81,76.16,13.67864,27534.09856
0.806,75.49,14.24582,58590.08219
0.806,76,14.73747,17191.66873
0.804,74.99,15.0566,25266.21195
0.796,73.4,14.14966,26903.24617
0.796,73.51,12.96,26230.71569
0.795,78.57,14.69562,13998.29989
0.783,78.8,14.2809,8620.716216
0.783,76.68,14.81373,12446.66645
0.782,76.98,14.11107,12707.36624
0.78,77.4,13.8,14871.81114
0.779,72.4,16.86987,15640.88574
0.779,75.05,14.80978,19159.83967
0.779,74.76,13.84533,25037.50727
0.779,72.07,15.07384705,13215.9357
0.778,77.02,12.77203,20895.35881
0.777,76.74,14.99071,12252.30018
