"","price","yrbuilt","stories","TLA","wall","beds","baths","halfbaths","frontage","depth","garage","garagesqft","rooms","lotsize","sdate","avalue","s1993","s1994","s1995","s1996","s1997","s1998","syear","age","geometry"
"1",303000,1978,"one+half",3273,"partbrk",4,3,1,177,0,"attached",625,12,53496,960423,306514,0,0,0,1,0,0,"1996",0.21,c(484668.144965112, 195270.349994299)
"2",92000,1957,"one",920,"metlvnyl",2,1,0,100,0,"detached",308,4,37900,970421,84628,0,0,0,0,1,0,"1997",0.42,c(484875.567452269, 195301.281394982)
"3",90000,1937,"two",1956,"stucdrvt",3,1,0,192,0,"attached",480,7,52900,931101,126514,1,0,0,0,0,0,"1993",0.62,c(485248.372103496, 195353.827053328)
"4",330000,1887,"one+half",1430,"wood",4,1,0,200,217,"no garage",0,7,43560,971223,199228,0,0,0,0,1,0,"1997",1.12,c(485764.186147384, 196177.537118746)
"5",185000,1978,"two",2208,"partbrk",3,2,1,241,0,"attached",528,7,225800,950807,192514,0,0,1,0,0,0,"1995",0.21,c(488149.750707485, 196591.377421014)
"6",100000,1989,"one",1232,"wood",1,1,0,154,1420,"detached",1200,5,214100,931101,107914,1,0,0,0,0,0,"1993",0.1,c(485525.731565257, 196659.995317446)
"7",43065,1927,"one",832,"wood",2,1,0,320,0,"detached",360,4,23500,951031,49028,0,0,1,0,0,0,"1995",0.72,c(487796.203395038, 196643.683200492)
"8",305000,1990,"one+half",3011,"partbrk",3,2,1,362,0,"attached",672,6,324900,931229,263400,1,0,0,0,0,0,"1993",0.09,c(488718.24383284, 196797.819681189)
"9",56493,1877,"one",1034,"wood",3,1,0,500,990,"detached",624,7,354200,960222,76600,0,0,0,1,0,0,"1996",1.22,c(485836.44944662, 196937.576355468)
"10",50000,1936,"one",960,"wood",2,1,0,220,0,"detached",780,6,37000,960607,50714,0,0,0,1,0,0,"1996",0.63,c(488008.87177593, 196986.953492323)
"11",122500,1956,"one",1696,"metlvnyl",4,2,0,245,0,"detached",616,6,47800,971112,100200,0,0,0,0,1,0,"1997",0.43,c(486022.005076884, 197032.859337489)
"12",315000,1969,"two",4255,"partbrk",5,2,1,188,0,"carport",608,10,108300,980629,358400,0,0,0,0,0,1,"1998",0.3,c(489111.940944044, 197044.060785028)
"13",16000,1997,"two",2183,"metlvnyl",4,2,1,212,0,"attached",475,8,44213,970321,11914,0,0,0,0,1,0,"1997",0.02,c(488005.99180133, 197278.225715648)
"14",155000,1992,"one",1542,"wood",3,2,0,205,0,"attached",1060,5,206800,980617,132428,0,0,0,0,0,1,"1998",0.07,c(488410.653460729, 197307.117100664)
"15",90500,1943,"one",1192,"wood",3,1,0,209,0,"no garage",0,6,37300,930827,86914,1,0,0,0,0,0,"1993",0.56,c(488152.778667556, 197496.780669883)
"16",175000,1986,"one",1918,"partbrk",3,2,0,202,0,"attached",675,6,211900,970708,147114,0,0,0,0,1,0,"1997",0.13,c(484643.25556379, 197553.929622272)
"17",119000,1877,"two",2000,"metlvnyl",3,2,0,160,0,"detached",672,6,35300,970924,73800,0,0,0,0,1,0,"1997",1.22,c(488468.016325335, 197505.278092322)
"18",120000,1850,"two",1419,"wood",2,1,0,479,0,"no garage",0,6,248700,940407,93714,0,1,0,0,0,0,"1994",1.49,c(490095.504820601, 197553.193530963)
"19",170000,1993,"one",2240,"partbrk",2,2,0,73,0,"attached",676,4,125599,961121,167514,0,0,0,1,0,0,"1996",0.06,c(489594.392716034, 197589.201836336)
"20",184000,1929,"two",2216,"wood",3,2,0,200,217,"basement",440,8,43560,960617,188714,0,0,0,1,0,0,"1996",0.7,c(490488.657199866, 197618.915707189)
"21",88500,1933,"one",1127,"wood",3,1,0,70,313,"detached",1540,4,45900,950712,72200,0,0,1,0,0,0,"1995",0.66,c(484827.872516855, 197737.832539731)
"22",180000,1967,"one",2312,"brick",3,2,0,200,217,"attached",600,7,43560,951211,168028,0,0,1,0,0,0,"1995",0.32,c(489805.617085991, 197667.530873026)
"23",148000,1978,"two",1768,"wood",3,2,1,150,0,"detached",864,6,45200,960401,123400,0,0,0,1,0,0,"1996",0.21,c(486072.348464152, 197750.815583128)
"24",17500,1997,"one",1922,"partbrk",3,2,1,250,629,"attached",682,5,151632,940719,26000,0,1,0,0,0,0,"1994",0.02,c(485070.437523496, 197780.986544566)
"25",135000,1988,"one+half",1912,"wood",3,2,0,198,495,"attached",576,6,92173,930928,131714,1,0,0,0,0,0,"1993",0.11,c(485178.555265575, 197842.371057514)
"26",210000,1978,"one+half",1435,"wood",2,2,0,146,0,"attached",648,5,212300,980804,115114,0,0,0,0,0,1,"1998",0.21,c(490108.565886191, 197848.444407962)
"27",60000,1887,"one+half",1661,"wood",4,1,0,157,0,"no garage",0,7,45500,981005,40628,0,0,0,0,0,1,"1998",1.12,c(488090.687202739, 197938.352807752)
"28",230000,1993,"one+half",2963,"metlvnyl",4,3,1,174,0,"attached",672,7,296382,980317,165514,0,0,0,0,0,1,"1998",0.06,c(490697.781668969, 197925.774047711)
"29",212500,1990,"one+half",3220,"partbrk",5,3,1,174,0,"attached",500,8,277172,930714,205314,1,0,0,0,0,0,"1993",0.09,c(490747.386792688, 197956.57424562)
"30",124900,1992,"one",1628,"metlvnyl",3,2,0,219,1015,"no garage",0,7,230258,980504,99914,0,0,0,0,0,1,"1998",0.07,c(485095.311790614, 198043.94562066)
"31",214500,1987,"two",2659,"partbrk",3,2,1,174,0,"attached",543,6,265106,980902,189514,0,0,0,0,0,1,"1998",0.12,c(490797.223864961, 197986.149525716)
"32",150000,1983,"multilvl",1700,"partbrk",3,1,1,174,0,"attached",520,7,257004,970306,127514,0,0,0,0,1,0,"1997",0.16,c(490843.260140008, 198018.6699072)
