INF;R4M3;R4Y
5.245136182;11.73913043;4.21710569
5.828489557;12.59415487;3.561494028
6.08891517;13.28056288;3.924590889
6.356473172;14.92063492;3.497427466
6.209267902;14.61923291;5.215033049
5.939404029;15.5472304;4.583758619
6.566456011;16.07142857;4.385812931
7.134516736;16.02209945;5.078078644
7.568995271;15.785645;5.5372227
8.62469577;14.42797591;6.102420791
8.896619298;13.19955407;6.108576125
9.508943415;13.50649351;5.720367094
10.91867167;13.2565445;4.750388393
11.93400217;12.56830601;3.682782534
12.91939458;12.38920622;2.975008788
13.57476763;12.33790999;0.238963055
11.57483562;12.00073964;-1.670137856
10.59849979;12.09996404;-1.340958884
9.314199069;13.72239748;-1.133173193
7.872455022;14.47971482;1.529328093
9.027525349;15.2055473;4.159168103
9.588114377;16.11868484;4.956760153
9.484622577;14.99460626;4.903212447
10.37746063;13.56761566;5.473598738
10.39255288;13.3992548;4.206980206
9.932803236;12.58287293;3.022495919
10.35323596;13.11980702;2.242763827
9.243842508;13.4351743;1.830171044
8.261937704;13.26930368;2.064224737
7.790703164;13.71610845;3.08987413
7.339649192;13.89645777;3.491362128
7.183833855;13.82366483;3.486016812
7.759897396;13.58920004;3.350003286
7.945144225;13.04347826;3.821052519
8.791022698;11.52485958;3.864232312
9.86751083;11.28526646;3.616778262
11.06936522;9.759650329;4.063225308
11.40719164;8.812082458;1.941509014
11.30224055;8.709475844;1.366297801
11.23190411;8.848523398;0.459723364
11.04337791;10.36660722;-0.383542908
11.12828762;11.12957874;0.386233275
11.38102321;11.06836665;0.720613081
11.57746992;10.66010061;0.909548446
10.72253188;10.74291376;1.228917643
10.34346384;10.83348789;1.062334968
9.693423901;11.27272334;0.246711276
8.92766048;11.45006725;0.054944718
8.457491723;10.38915682;0.306574174
7.8241595;9.529170654;0.827300295
7.554865983;8.9576753;1.631326206
7.349443667;8.840208698;2.698745138
7.097506034;8.323638616;2.895987195
6.680976323;8.524190481;1.74400933
5.991387462;9.055995025;2.526624869
5.522536767;8.421328235;1.936497992
5.39857145;9.450528996;1.295277627
5.418413053;8.598947051;2.747355405
4.88121348;7.596798052;2.559742267
4.421141812;7.954219543;2.645891111
3.51518845;7.189849256;2.066366129
2.540584668;6.920420951;2.955394264
