EDUC,INF,INV,RM,RPOB,RY,YPC0
1.06,374.3,0.1819,356.7,1.4,0.8,3.091
0.98,6.1,0.2447,11.5,1.5,3.1,5.182
1.04,3.6,0.2563,7.3,0.3,2.3,3.908
0.61,8.6,0.1199,18,2.1,4.2,0.444
0.4,1.4,0.1814,6.3,3,2.7,0.595
0.68,187.1,0.1708,207.1,2.1,1.1,0.882
0.65,12.3,0.3738,25.2,3.4,9.6,0.493
1.07,4,0.2001,3.1,2.8,0,0.507
1.03,3.9,0.2231,8.1,1.2,2.6,6.069
0.69,4.2,0.1101,3.5,2.4,1,0.485
0.37,0.7,0.1382,5.6,2.3,4.8,0.515
1.07,20.1,0.1613,29.1,1.7,5.1,2.932
1.33,-0.6,0.3167,4.9,2.9,2.7,0.563
1.1,22.1,0.251,25.5,2.8,3.6,1.663
0.96,4.6,0.2021,9.8,0.1,2,5.49
1.01,25,0.2277,29.3,2.2,2.8,0.956
0.97,40.4,0.2319,38.8,2.5,2.4,1.143
0.69,13.6,0.2739,21.4,2,4.3,0.496
0.73,17,0.1625,18.5,1.5,1.6,1.062
0.17,2.8,0.1118,13,2.7,1.8,0.285
1.25,5.8,0.2643,11.4,0.4,2,4.073
1.64,1.5,0.4099,3.1,1.7,1.2,0.804
0.26,16.2,0.1805,19,3.7,2.4,0.433
1.29,2.7,0.206,6.8,0.2,2.6,5.217
0.61,37,0.0868,42,3.3,3.5,0.534
1.09,17.3,0.2375,22.3,0.6,1.3,1.474
0.58,16.8,0.1556,19.3,2.9,1.7,1.268
0.33,58.7,0.2355,59.8,2,4.8,0.411
0.93,8.2,0.1917,14.3,3.1,2.9,0.748
0.72,8.7,0.228,16.7,2,5.2,0.533
0.75,8.5,0.2438,26.3,1.7,5.8,0.493
0.69,17.1,0.2804,18.4,3.5,2.6,2.527
1.06,4.8,0.2428,7.4,0.3,3.8,2.545
1.28,70.4,0.2214,78.6,2.3,4.1,2.838
1.1,8.8,0.2381,10.5,0.1,2.2,3.233
0.76,1.5,0.1997,2.5,3.7,0.1,0.743
0.85,22.4,0.2069,27.3,0.9,2.3,1.472
1,1.5,0.3096,8.2,0.5,4,2.239
0.64,9.9,0.2419,16.4,3.3,3.8,0.47
1.05,6.3,0.2957,21.9,1.1,9.1,0.69
0.95,13.8,0.3698,16.3,2.9,5.5,0.245
0.83,16.1,0.1001,16.4,3.3,0.9,0.659
0.4,15.5,0.2273,18.6,3.2,3,0.237
0.91,2.2,0.2919,12.6,2.5,6.2,1.103
0.26,4.4,0.1858,7.7,3,1.9,0.396
0.16,8.2,0.2857,10.9,2.6,2,0.414
1.1,8.8,0.2476,21.6,0.9,6,1.012
1.04,57.9,0.2192,57.8,2.3,1.6,2.157
0.52,6.6,0.2547,13.7,2.2,3.7,0.542
0.87,16.5,0.1589,15.8,2.1,0.8,0.306
0.26,11.5,0.1771,19.9,2.6,5,0.478
0.14,1.3,0.1622,3.9,3.3,-0.6,0.284
0.34,20.6,0.1645,18,2.9,2.7,0.552
1.04,4.6,0.3039,9.5,0.4,2.6,5.001
0.44,7.4,0.1796,14.2,2.8,6,0.558
0.52,4.8,0.2397,8.7,2.2,3.1,1.008
1.09,25,0.2468,36.9,3.1,2.8,0.991
1.07,316.1,0.2387,296.6,2.1,-0.5,1.721
1.14,13.6,0.2415,17.4,2.3,1.4,0.874
0.98,16.4,0.2865,18.5,0.1,3,1.429
0.7,3.4,0.1483,8.1,2.8,1.1,0.244
0.43,4.9,0.1622,4.7,2.7,2.8,0.756
0.34,61.6,0.1316,57.2,2.5,1.1,0.281
1.05,2.5,0.421,13.5,1.1,6.9,1.528
0.96,14.7,0.2593,16.6,2.4,0.9,2.627
1.23,8.4,0.2259,11.6,0.4,3.1,2.425
0.99,11.1,0.2308,15.6,1.5,4,0.974
0.97,6.9,0.207,6.9,0.3,1.7,5.149
0.84,3.8,0.2383,6.2,0.8,1.9,6.834
0.81,4.3,0.2571,19.2,1.7,8.2,0.688
0.72,3.7,0.2802,3.2,3,0.7,0.415
1,7.1,0.277,15.5,2.3,3.7,0.852
1.09,53.5,0.2208,60.6,2.3,4.6,1.255
1.09,3.8,0.1607,7.2,1,2.7,7.38
1.06,66.7,0.1275,70.1,0.6,1.3,3.271
0.94,23.9,0.2758,22.7,2.5,2.1,5.308
