"dateid01","br","ffr","inf"
8/1/1954,1.49,1.22,0
9/1/1954,1.6,1.06,-0.298
10/1/1954,1.72,0.85,-0.8571
11/1/1954,1.75,0.83,-0.261
12/1/1954,1.81,1.28,-0.3729
1/1/1955,1.99,1.39,-0.633
2/1/1955,2.12,1.29,-0.6319
3/1/1955,2.26,1.35,-0.5212
4/1/1955,2.37,1.43,-0.261
5/1/1955,2.37,1.43,-0.5959
6/1/1955,2.39,1.64,-0.8574
7/1/1955,2.51,1.68,-0.373
8/1/1955,2.72,1.96,-0.4853
9/1/1955,2.69,2.18,0.1491
10/1/1955,2.62,2.24,0.3736
11/1/1955,2.73,2.35,0.3727
12/1/1955,2.88,2.48,0.3729
1/1/1956,2.78,2.45,0.2239
2/1/1956,2.67,2.5,0.149
3/1/1956,2.89,2.5,0.3726
4/1/1956,3.19,2.62,0.5212
5/1/1956,3.08,2.75,0.9666
6/1/1956,2.95,2.71,1.6339
7/1/1956,3.06,2.75,1.9612
8/1/1956,3.39,2.73,2.1841
9/1/1956,3.5,2.95,1.8451
10/1/1956,3.4,2.96,2.5402
11/1/1956,3.57,2.88,2.3167
12/1/1956,3.76,2.94,2.7892
1/1/1957,3.46,2.84,3.0828
2/1/1957,3.42,3,3.4398
3/1/1957,3.47,2.96,3.5437
4/1/1957,3.53,3,3.646
5/1/1957,3.61,3,3.5257
6/1/1957,3.8,3,3.4748
7/1/1957,3.96,2.99,3.2447
8/1/1957,4.02,3.24,3.4902
9/1/1957,4.06,3.47,3.4852
10/1/1957,4.09,3.5,2.9019
11/1/1957,3.7,3.28,3.2192
12/1/1957,3.11,2.98,2.9949
1/1/1958,2.78,2.72,3.4456
2/1/1958,2.58,1.67,3.1861
3/1/1958,2.4,1.2,3.5611
4/1/1958,2.15,1.26,3.5523
5/1/1958,2.07,0.63,3.302
6/1/1958,2.08,0.93,2.8062
7/1/1958,2.42,0.68,2.4528
8/1/1958,3.06,1.53,2.307
9/1/1958,3.52,1.76,2.0619
10/1/1958,3.67,1.8,2.0619
11/1/1958,3.6,2.27,1.8829
12/1/1958,3.72,2.42,1.741
1/1/1959,3.91,2.48,1.2836
2/1/1959,3.92,2.43,1.0399
3/1/1959,3.97,2.8,0.3458
4/1/1959,4.03,2.96,0.1381
5/1/1959,4.25,2.9,0.3449
6/1/1959,4.52,3.39,0.6894
7/1/1959,4.6,3.47,0.8959
8/1/1959,4.6,3.5,0.8259
9/1/1959,4.97,3.76,1.1692
10/1/1959,4.78,3.98,1.5105
11/1/1959,4.85,4,1.3722
12/1/1959,5.12,3.99,1.5074
1/1/1960,4.99,3.99,1.2333
2/1/1960,4.73,3.97,1.4039
3/1/1960,4.29,3.84,1.5074
4/1/1960,4.27,3.92,1.9139
5/1/1960,4.46,3.85,1.8086
6/1/1960,4.01,3.32,1.703
7/1/1960,3.63,3.23,1.3629
8/1/1960,3.41,2.98,1.4629
9/1/1960,3.43,2.6,1.2233
10/1/1960,3.53,2.47,1.3537
11/1/1960,3.6,2.44,1.4544
12/1/1960,3.42,1.98,1.3509
1/1/1961,3.39,1.45,1.5876
2/1/1961,3.46,2.54,1.4515
3/1/1961,3.35,2.02,1.4515
4/1/1961,3.33,1.49,0.9099
5/1/1961,3.23,1.98,0.9089
6/1/1961,3.63,1.73,0.7738
7/1/1961,3.59,1.17,1.2443
8/1/1961,3.76,2,1.1083
9/1/1961,3.73,1.88,1.2418
10/1/1961,3.62,2.26,0.7701
11/1/1961,3.61,2.61,0.6693
12/1/1961,3.72,2.33,0.6687
1/1/1962,3.76,2.15,0.668
2/1/1962,3.69,2.37,0.9008
3/1/1962,3.45,2.85,1.0998
4/1/1962,3.38,2.78,1.3329
5/1/1962,3.4,2.36,1.3316
6/1/1962,3.39,2.68,1.2323
7/1/1962,3.62,2.71,0.9977
8/1/1962,3.46,2.93,1.1292
9/1/1962,3.41,2.9,1.457
10/1/1962,3.33,2.9,1.3254
11/1/1962,3.4,2.94,1.3254
12/1/1962,3.37,2.93,1.2254
1/1/1963,3.4,2.92,1.3228
2/1/1963,3.39,3,1.2213
3/1/1963,3.41,2.98,1.1206
4/1/1963,3.5,2.9,0.8898
5/1/1963,3.54,3,0.8889
6/1/1963,3.61,2.99,1.3154
7/1/1963,3.76,3.02,1.5433
8/1/1963,3.77,3.49,1.5403
9/1/1963,3.82,3.48,0.9814
10/1/1963,3.87,3.5,1.2105
11/1/1963,3.95,3.48,1.3081
12/1/1963,4.01,3.38,1.6324
1/1/1964,4.04,3.48,1.6292
2/1/1964,4,3.48,1.4009
3/1/1964,4.12,3.43,1.3995
4/1/1964,4.15,3.47,1.5302
5/1/1964,4.04,3.5,1.5287
6/1/1964,4.01,3.5,1.2983
7/1/1964,3.93,3.42,1.0695
8/1/1964,3.93,3.5,0.9709
9/1/1964,4.01,3.45,1.1651
10/1/1964,4.02,3.36,1.1961
11/1/1964,4.04,3.52,1.3873
12/1/1964,4.08,3.85,1.1911
1/1/1965,4.03,3.9,1.0929
2/1/1965,4.08,3.98,1.1899
3/1/1965,4.13,4.04,1.1888
4/1/1965,4.12,4.09,1.3798
5/1/1965,4.11,4.1,1.6011
6/1/1965,4.08,4.04,1.9164
7/1/1965,4.09,4.09,1.7892
8/1/1965,4.16,4.12,1.5975
9/1/1965,4.24,4.01,1.7225
10/1/1965,4.33,4.08,1.6887
11/1/1965,4.45,4.1,1.7154
12/1/1965,4.79,4.32,1.9018
1/1/1966,4.9,4.42,1.9
2/1/1966,5.02,4.6,2.5254
3/1/1966,4.97,4.65,2.7408
4/1/1966,4.89,4.67,2.8277
5/1/1966,5,4.9,2.7262
6/1/1966,5.05,5.17,2.4067
7/1/1966,5.26,5.3,2.7176
8/1/1966,5.68,5.53,3.4271
9/1/1966,5.79,5.4,3.5113
10/1/1966,5.48,5.53,3.7214
11/1/1966,5.53,5.76,3.4972
12/1/1966,5.19,5.4,3.3043
1/1/1967,4.75,4.94,3.1494
2/1/1967,4.73,5,2.8275
3/1/1967,4.47,4.53,2.5162
4/1/1967,4.38,4.05,2.5085
5/1/1967,4.61,3.94,2.2919
6/1/1967,4.89,3.98,2.8016
7/1/1967,5.06,3.79,2.8855
8/1/1967,5.23,3.9,2.5701
9/1/1967,5.41,3.99,2.5623
10/1/1967,5.52,3.88,2.5546
11/1/1967,5.71,4.13,3.055
12/1/1967,5.71,4.51,3.228
1/1/1968,5.53,4.6,3.5825
2/1/1968,5.61,4.71,3.5718
3/1/1968,5.8,5.05,3.8638
4/1/1968,5.75,5.76,3.8523
5/1/1968,6.11,6.11,4.1426
6/1/1968,5.82,6.07,4.1182
7/1/1968,5.54,6.02,4.3931
8/1/1968,5.42,6.03,4.3803
9/1/1968,5.39,5.78,4.3675
10/1/1968,5.52,5.91,4.6385
11/1/1968,5.57,5.82,4.3297
12/1/1968,6.16,6.02,4.5985
1/1/1969,6.22,6.3,4.5853
2/1/1969,6.32,6.61,4.5722
3/1/1969,6.38,6.79,5.1148
4/1/1969,6.25,7.41,5.3761
5/1/1969,6.51,8.67,5.3609
6/1/1969,6.83,8.9,5.3309
7/1/1969,7.31,8.61,5.3011
8/1/1969,7.29,9.19,5.2863
9/1/1969,7.77,9.15,5.5416
10/1/1969,7.57,9,5.511
11/1/1969,7.65,8.85,5.7629
12/1/1969,8.1,8.97,5.7314
1/1/1970,8.24,8.98,5.98
2/1/1970,7.79,8.98,6.2266
3/1/1970,7.15,7.76,5.9157
4/1/1970,7.39,8.1,5.8841
5/1/1970,7.94,7.94,5.8684
6/1/1970,7.84,7.6,5.8372
7/1/1970,7.56,7.21,5.5496
8/1/1970,7.46,6.61,5.535
9/1/1970,7.11,6.29,5.506
10/1/1970,6.96,6.2,5.4772
11/1/1970,6.25,5.6,5.4488
12/1/1970,5.75,4.9,5.4207
1/1/1971,5.61,4.14,5.1425
2/1/1971,5.07,3.72,4.6162
3/1/1971,4.5,3.71,4.343
4/1/1971,5.22,4.15,4.0718
5/1/1971,5.97,4.63,4.3099
6/1/1971,6.32,4.91,4.2882
7/1/1971,6.74,5.31,4.2774
8/1/1971,6.35,5.56,4.2666
9/1/1971,5.89,5.55,4.0005
10/1/1971,5.56,5.2,3.7364
11/1/1971,5.35,4.91,3.4743
12/1/1971,5.27,4.14,3.2141
1/1/1972,5.14,3.5,3.2062
2/1/1972,5.25,3.29,3.6905
3/1/1972,5.56,3.83,3.4401
4/1/1972,5.88,4.17,3.4317
5/1/1972,5.55,4.27,3.1749
6/1/1972,5.64,4.46,2.9199
7/1/1972,5.78,4.55,2.9128
8/1/1972,5.79,4.8,2.9058
9/1/1972,6.06,4.87,3.1366
10/1/1972,6.05,5.04,3.129
11/1/1972,5.94,5.06,3.3576
12/1/1972,6.01,5.33,3.3496
1/1/1973,6.27,5.94,3.5761
2/1/1973,6.58,6.58,3.7919
3/1/1973,6.86,7.09,4.7179
4/1/1973,6.78,7.12,5.1655
5/1/1973,6.83,7.84,5.3814
6/1/1973,6.84,8.49,5.8224
7/1/1973,7.54,10.4,5.5828
8/1/1973,7.89,10.5,7.1377
9/1/1973,7.25,10.78,7.1049
10/1/1973,6.81,10.01,7.7487
11/1/1973,7,10.03,7.9317
12/1/1973,6.81,9.95,8.5638
1/1/1974,6.96,9.65,9.1684
2/1/1974,6.76,8.97,9.531
3/1/1974,7.35,9.35,9.6566
4/1/1974,8.05,10.51,9.5934
5/1/1974,8.27,11.31,10.1709
6/1/1974,8.15,11.93,10.3096
7/1/1974,8.41,12.92,10.9199
8/1/1974,8.66,12.01,10.3359
9/1/1974,8.41,11.34,11.2854
10/1/1974,8,10.06,11.1918
11/1/1974,7.61,9.45,11.5117
12/1/1974,7.24,8.53,11.4177
1/1/1975,7.23,7.13,11.1113
2/1/1975,6.65,6.24,10.6206
3/1/1975,6.81,5.54,9.9486
