LIQ,NACC,NTRAN,PRECIO,TMEDT,VALOR
16.221,81.141,6273,37.25,3.452,3.002
5.693,27.088,1548,22.5,13.561,0.609
11.965,189.68,7582,21,2.884,4.007
3.834,13.492,3771,24.375,5.674,0.325
13.235,72.6,7434,28.75,2.909,2.087
0.658,6.736,1070,17,19.195,0.115
13.794,107.743,3880,33,5.497,3.596
2.009,20.851,2735,10.125,7.79,0.211
27.6,220.776,8639,44.125,2.509,9.742
18.515,79.964,11083,21.625,1.948,1.749
23.466,97.225,8275,56.25,2.632,5.505
18.192,151.508,7377,18.125,2.941,2.746
28.163,141.309,18204,13,1.192,1.855
4.428,21.433,3462,33.75,6.188,0.726
4.912,27.309,2204,40.375,9.644,1.109
9.802,50.338,5339,23.375,4.036,1.183
15.513,137.269,9329,52.125,2.329,7.189
10.781,73.2,5487,47,3.931,3.44
11.149,46.544,4018,17.375,5.364,0.815
7.561,29.718,4009,72.5,5.357,2.151
14.969,38.301,9027,35.25,2.398,1.35
2.726,19.683,1507,19.5,13.835,0.381
17.275,92.775,9425,22,2.311,2.064
14.57,72.127,3941,44.25,5.472,3.201
11.967,83.009,5451,24.75,3.971,2.065
4.155,16.049,2377,26.5,8.96,0.425
3.072,13.689,2204,14,9.547,0.192
5.872,15.161,4511,45,4.676,0.682
17.744,176.21,6287,27.875,3.431,4.912
4.351,13.524,2441,80.75,8.626,1.097
16.995,39.761,6426,43.875,3.359,1.735
1.902,8.724,1796,72,11.7,0.626
19.727,190.192,14119,27.375,1.537,5.23
12.986,20.232,6121,19.875,3.542,0.41
2.823,26.879,1748,27.25,11.995,0.753
27.106,155.6,12017,71.875,1.814,11.184
46.832,172.2,17243,45.625,1.26,7.857
2.584,12.402,1908,54.25,10.886,0.677
18.056,46.6,6412,34.375,3.341,1.608
9.18,78.946,4653,14.875,4.658,1.164
7.999,46.87,2238,20.75,9.518,1.002
27.07,126.268,8101,39,2.675,4.893
8.914,67.662,4814,16.75,4.486,1.133
7.141,43.206,4523,69.625,4.763,3.003
28.574,454.876,16340,56.375,1.332,25.757
5.992,50.366,2940,55.75,7.337,2.814
2.118,20.402,2342,68.75,9.079,1.408
37.72,315.451,16689,78.125,1.31,24.723
13.08,70.039,5834,28.375,3.722,1.987
12.249,35.408,2448,25.375,8.748,0.898
19.874,108.496,6836,28.625,3.175,3.092
15.006,34.787,3707,43.75,5.818,1.522
4.503,280.173,999,34.25,20.772,9.631
6.11,49.342,5454,21.375,3.942,1.061
12.238,46.713,5623,62.75,3.859,2.955
6.268,40.222,4937,27.125,4.36,1.091
5.81,55.816,3768,13.375,5.702,0.754
16.576,96.849,7170,23.375,3.01,2.276
33.565,256.478,11528,33.875,1.886,8.688
64.572,612.686,36420,122.375,0.59,75.437
3,36.72,2097,27.875,10.019,1.028
3.842,26.756,1490,37,14.198,0.993
16.242,49.942,6972,53.625,3.1,2.691
34.453,139.747,16346,29.375,1.332,4.105
