BA,BS,CB,FI,FTB,LA,MARG,MAT,MC,MOB,NW,PTS,SE,STL,Y,YLD
38,22,0,13.62,1,8.91,1.5,1.5,0,1,7.558,2.33,0,3.69,1,1.38
38,22,0,13.62,1,8.91,1.5,1.5,0,1,7.558,2.33,0,3.69,1,1.38
38,22,0,13.62,1,8.91,1.5,1.5,0,1,7.558,2.33,0,3.69,1,1.38
38,22,0,13.62,1,8.91,1.5,1.5,0,1,7.556,2.33,0,3.89,1,1.38
41,16,0,14,1,12.5,5.5,1,0,4,7.821,1.75,1,50.93,1,1.38
41,16,0,14,1,17.74,4.75,1,0,4,8.014,1.75,1,50.44,1,1.38
41,16,0,14,1,17.74,4.75,1,0,4,8.014,1.75,1,50.44,1,1.38
38,22,0,13.62,1,8.91,1.5,1.5,0,1,7.558,2.33,0,3.69,1,1.38
44,16,0,13.5,1,17.12,2.4,1,1,11,17.86,1,1,31.46,1,1.59
34,19,0,13.75,1,6.18,2.44,0.67,0,2,9.1,2,1,40.48,1,1.45
44,16,0,14,1,5.01,2.45,1,1,2,2.419,1,0,28.81,1,1.64
44,16,0,14,1,5.01,2.45,1,1,2,2.419,1,0,28.81,1,1.64
44,16,0,13.5,1,17.12,2.4,1,1,11,17.86,1,1,31.46,1,1.59
57,17,1,14,1,16.84,0.35,0.67,1,28,5.62,1.25,0,22.53,1,1.64
42,20,0,13.9,1,0,3.04,1,1,8,12.404,2.03,0,0,1,1.5
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
38,22,0,13.75,1,8.91,2.33,1,0,1,7.558,2.5,0,3.69,1,1.45
44,16,0,13.5,1,17.12,2.4,1,1,11,17.86,1,1,31.46,0,1.59
39,21,1,13.88,1,1.2,0.35,1,1,2,4.26,0.83,0,25.8,0,2.04
39,21,1,13.88,1,1.2,0.35,1,1,2,4.26,0.83,0,25.8,0,2.04
39,21,1,13.88,1,1.2,0.35,1,1,2,4.26,0.83,0,25.8,0,2.04
44,16,0,13.5,1,17.12,2.4,1,1,11,17.86,1,1,31.46,0,1.59
53,16,1,13.5,1,7.05,3.86,0.42,1,17,1.977,0.74,0,0.3,0,1.6
32,18,0,12.38,1,3.6,2.73,0.85,1,4,1.11,1.66,0,0.59,0,1.4
24,17,0,12.13,0,0.28,3.36,0.85,0,1,0.118,1.66,0,1.07,0,1.6
