K,L,Y
0.01016349,3,0.02627634
0.09940389,2,0.08106003
0.01388184,3,0.12939858
0.08998407,4,0.272679
0.44248365,2,0.28879185
0.24268431,5,0.35002068
0.00223101,2,0.38621262
0.42959337,3,0.43207227
0.66880722,8,0.4536387
0.71541054,11,0.51908166
0.18368649,13,0.52750992
0.49032642,6,0.53221983
0.17426667,8,0.5577525
0.32547957,7,0.58278939
0.04139763,22,0.59344866
0.02280588,9,0.60113325
0.05032167,5,0.61129674
0.54139176,26,0.66756777
4.96895505,36,0.74317422
0.34109664,9,0.8081214
0.01189872,1,0.86166564
1.14847437,11,0.86885445
0.31283718,15,0.88695042
0.42017355,22,0.94793136
0.28780029,30,0.96453999
0.46033173,35,0.9866022
0.56568498,27,1.06047342
0.21194595,20,1.07410737
0.22706724,48,1.08005673
0.12543234,20,1.08898077
0.86687133,19,1.08947655
0.16955676,19,1.09269912
0.69607512,17,1.09393857
0.69433989,18,1.10087949
1.87082583,12,1.1130261
1.5468336,20,1.1130261
9.51748866,26,1.16657034
0.5379213,29,1.17202392
0.59964591,31,1.21664412
0.19905567,50,1.21862724
2.05847856,23,1.24787826
0.9642921,31,1.29572103
23.00766246,28,1.29720837
0.37059555,18,1.30117461
0.41695098,30,1.34455536
1.52030937,14,1.37281482
1.49601615,37,1.38421776
1.38099519,38,1.40157006
2.62540299,20,1.42437594
0.19608099,45,1.45561008
1.37727684,32,1.46304678
0.04610754,15,1.47197082
0.5899782,40,1.47915963
1.20895953,35,1.51039377
1.22036247,31,1.51262478
0.21145017,24,1.54906461
0.33142893,37,1.56988737
0.97941339,33,1.57112682
2.9771589,28,1.57187049
2.34875775,26,1.61921748
1.89536694,23,1.6286373
1.33488765,42,1.63086831
0.10262646,37,1.64326281
0.61526298,41,1.64871639
1.22358504,18,1.660863
1.42363227,43,1.70870577
0.67004667,29,1.71812559
0.28383405,33,1.72928064
0.70995696,41,1.7302722
1.08774132,45,1.73250321
0.64401822,37,1.80414342
2.09838885,35,1.82347884
0.32771058,49,1.82868453
3.81453132,41,1.83983958
