year,firm,HSK,FOWNER,DEXP,DIASSET,DSOWNER,Y,K,L,M
2004,1,0.2673267,0.25,1,1,0,33570.0641196314,18932.986552797,202.000061124966,21256.988693976
2005,1,0.2673267,0.25,1,1,0,53068.0324226046,23506.9170646878,229.999928947676,34669.9986589967
2006,1,0.2673267,0.25,1,1,0,79438.6258016443,24194.9690491124,243.000135268284,50860.9135058787
2004,2,0,0,0,0,0,11565.0049189941,6464.99811735376,56.0000173188343,7634.00585295053
2005,2,0,0,0,0,0,11089.9991089805,7149.99545483186,56.0000173188343,8279.9979516996
2006,2,0,0,0,0,0,14400.007407879,7149.99545483186,56.9999847334327,10192.0063413426
2004,3,0.5823755,0,0,1,0,28818.9950769884,49869.7557104002,260.999893688799,9708.00420505517
2005,3,0.5823755,0,0,1,0,23443.0651282722,47288.8586394565,253.999932177301,2212.00140983585
2006,3,0.5823755,0,0,1,0,6408.0032761024,62725.2903399802,117.000007628663,9696.00282823541
2004,4,0.1374408,0,0,1,0,10965.0037187586,35949.8431451287,210.999971836552,2317.9999446005
2005,4,0.1374408,0,0,1,0,11359.0038594319,34869.9253897975,265.000046113655,8052.00171701123
2006,4,0.1374408,0,0,1,0,9996.99673130962,34943.9280467237,246.000114160665,6424.00478185652
2004,5,0.2,0,0,0,1,8520.00323910558,1492.00032710059,34.9999978478706,1121.99990341528
2005,5,0.2,0,0,0,1,8046.99492921567,3239.99802753274,47.9999994764212,2649.00135291863
2006,5,0.2,0,0,0,1,8814.99916405622,2056.00076776183,47.9999994764212,1179.00011726645
2004,6,0.321267,0,0,0,1,49851.8058295168,6311.00365038292,221.000065964587,12627.0043255225
2005,6,0.321267,0,0,0,1,37875.8884514283,6268.99917704355,205.000004276626,9933.99507604231
2006,6,0.321267,0,0,0,1,20861.9874570201,7760.99634570189,188.00000698797,5752.00057864616
2004,7,0.1470588,0,0,0,1,12657.0037870706,6124.00148949431,34.0000161630544,9662.00053030514
2005,7,0.1470588,0,0,0,1,16364.9969408044,7156.99872792497,34.9999978478706,13319.0017820686
2006,7,0.1470588,0,0,0,1,17591.0055130395,8038.00341607721,51.0000187310628,14058.0012970495
2004,8,0.1046512,0,0,0,1,7068.0011772491,15407.9979347441,85.9999745222021,814.000516074096
2005,8,0.1046512,0,0,0,1,5143.00079317967,1389.99996368662,88.9999670938456,1157.00031563696
2006,8,0.1046512,0,0,0,1,2493.99968515751,10181.9925217078,84.9999781983259,764.000161076796
2004,9,0.1923077,0,0,0,1,2336.0015325377,705.999832329791,52.0000146337678,478.999713840257
2005,9,0.1923077,0,0,0,1,1769.00054103142,663.000006506774,67.0000255008101,447.999895878099
2006,9,0.1923077,0,0,0,1,1634.99986375324,2399.99996079351,53.0000045817377,510.00013988365
2004,10,0.4324324,0,0,1,0,6246.00288663314,5930.99933668455,37.0000032321638,541.999999219712
2005,10,0.4324324,0,0,1,0,6569.99926758527,9744.00009793034,98.0000510902973,347.000076358448
2006,10,0.4324324,0,0,1,0,8045.99716370718,3826.00325210062,80.0000292260948,220.000099802503
2004,11,0.4892086,0,1,0,1,31194.9031538726,23804.0258805621,139.000009294834,7522.99794200674
2005,11,0.4892086,0,1,0,1,38452.1542241405,24868.0717346041,147.999959482917,11172.0008148291
2006,11,0.4892086,0,1,0,1,40261.058884383,18130.0126230369,158.999967846986,12945.001395657
