RENTAB;AT;VT;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
0.25999999;73.69980776;60.94672571;0.460000008;0.639999986;0.25;1.529999971;0.180000007;0.100000001;0.74000001;0.119999997;0.07;0.25
0.569999993;54.59815003;70.10541235;1.68E-39;1.789999962;0.330000013;1.730000019;1.25999999;0.119999997;0.270000011;0.150000006;0.300000012;0.330000013
0.090000004;131.6306789;84.77494652;0.239999995;0.360000014;0.200000003;0.439999998;0.389999986;0.939999998;0.01;0.970000029;0.569999993;0.5
0.319999993;84.77494652;111.0521641;0.449999988;1.860000014;0.209999993;1.230000019;0.689999998;0.289999992;0.289999992;0.519999981;1.53E-39;0.230000004
0.170000002;115.5842845;127.7403777;0.910000026;1.25999999;0.119999997;1.75999999;0.899999976;0.25999999;0.330000013;0.540000021;0.310000002;0.209999993
0.239999995;225.8791397;273.1442745;0.25999999;1.539999962;0.25;1.440000057;1.230000019;0.419999987;0.059999999;0.569999993;0.150000006;0.370000005
0.529999971;73.69980776;125.2109511;0.519999981;3.339999914;0.400000006;0.829999983;0.829999983;0.140000001;1.65E-39;0.209999993;0.209999993;0.589999974
0.25999999;77.47845554;89.12142548;0.239999995;1.379999995;0.370000005;1.450000048;0.579999983;0.400000006;0.360000014;1.039999962;0.159999996;0.439999998
0.129999995;64.71545704;62.17793005;0.189999998;0.910000026;0.209999993;2.890000105;1.950000048;0.059999999;0.289999992;0.109999999;0.389999986;0.209999993
0.159999996;64.71545704;81.45087643;0.289999992;1.700000048;0.180000007;2.130000114;0.560000002;0.209999993;0.579999983;0.400000006;0.460000008;0.209999993
0.059999999;59.73990082;73.69980776;0.850000024;1.600000024;0.01;1.309999943;0.730000019;0.230000004;0.340000004;0.379999995;2.23E-39;0.01
0.07;85.62692767;37.33756355;0.02;0.150000006;0.699999988;4.570000172;4.510000229;0.540000021;1.59E-39;0.629999995;1.85E-39;0.699999988
-0.180000007;77.47845554;62.17793005;0.75999999;0.600000024;-0.319999993;0.469999999;0.469999999;0.540000021;1.59E-39;0.839999974;2.47E-39;-0.579999983
0.119999997;42.09799057;60.94672571;0.389999986;2.339999914;0.109999999;0.850000024;0.140000001;0.409999996;0.49000001;0.970000029;2.85E-39;0.109999999
0.150000006;94.63242636;102.5140758;0.059999999;1.190000057;0.649999976;1.809999943;1.25;0.649999976;0.100000001;0.769999981;0.25999999;0.810000002
0.029999999;65.36584199;1;2.82E-39;2.82E-39;1.470000029;12.97999954;12.97999954;0.050000001;2.35E-39;0.059999999;2.82E-39;1.470000029
0.079999998;55.14688319;57.97430776;0.389999986;1.120000005;0.079999998;1.429999948;0.589999974;0.360000014;0.360000014;0.439999998;2.59E-39;0.090000004
0.090000004;57.97430776;67.35654238;0.25999999;1.419999957;0.129999995;1.75;0.920000017;0.310000002;0.330000013;0.409999996;0.600000024;0.129999995
0.25;37.33756355;54.05488988;0.150000006;2.329999924;0.230000004;1.49000001;0.790000021;0.209999993;0.370000005;0.49000001;0.230000004;0.230000004
-0.029999999;73.69980776;90.92183932;0.670000017;1.620000005;-0.07;1.350000024;0.569999993;0.200000003;0.430000007;0.409999996;2.41E-39;-0.07
0.029999999;69.40783595;5.697343477;0.150000006;1.76E-39;0.039999999;0.289999992;0.289999992;1.70E-39;1.70E-39;1.70E-39;1.70E-39;0.039999999
0.039999999;55.70110476;69.40783595;0.340000004;1.649999976;0.029999999;1.419999957;0.709999979;0.280000001;0.360000014;0.430000007;4.210000038;0.029999999
0.170000002;30.26524686;33.78442782;0.379999995;1.289999962;0.140000001;1.120000005;0.610000014;0.270000011;0.330000013;0.370000005;0.159999996;0.150000006
0.07;52.45732795;56.26092305;0.180000007;1.200000048;0.050000001;1.5;0.899999976;0.209999993;0.310000002;0.310000002;1.659999967;0.050000001
0.109999999;52.98453236;77.47845554;0.449999988;2.400000095;0.090000004;1.299999952;0.860000014;0.360000014;0.219999999;0.600000024;0.349999994;0.100000001
0.039999999;65.36584199;112.1682291;0.540000021;3.460000038;-0.01;1.080000043;0.660000026;0.49000001;0.189999998;0.50999999;1.50E-39;-0.200000003
