EDAD,EDADMARIDO,EDUC,EDUCMADRE,EDUCMADREMARIDO,EDUCMARIDO,EDUCPADRE,EDUCPADREMARIDO,EXPER,HIJOS618,HIJOSM18,HIJOSM6,HIJOSMEN,HORASTRAB,HORASTRABMARIDO,IMPFED,PMT,SALARIO,SALARIOMARIDO,TMIMP,YFAM
32,34,12,12,16,12,7,14,14,0,1,1,1,1610,2708,1494,1,3.354,4.0288,0.7215,16310
30,30,12,7,3,9,7,7,5,2,2,0,1,1656,2310,2615,1,1.3889,8.4416,0.6615,21800
35,40,12,12,10,12,7,7,15,3,4,1,1,1980,3072,3957,1,4.5455,3.5807,0.6915,21040
34,53,12,7,12,10,7,7,6,3,3,0,1,456,1920,2279,1,1.0965,3.5417,0.7815,7300
31,32,14,12,7,12,14,7,7,2,3,1,1,1568,2000,1063,1,4.5918,10,0.6215,27300
54,57,12,14,7,11,7,7,33,0,0,0,0,2032,1040,370,1,4.7421,6.7106,0.6915,19495
37,37,16,14,10,12,7,7,11,2,2,0,1,1440,2670,877,1,8.3333,3.4277,0.6915,21152
54,53,12,3,7,8,3,7,35,0,0,0,0,1020,4120,2804,1,7.8431,2.5485,0.6915,18900
48,52,12,7,7,4,7,7,24,2,2,0,1,1458,1995,0,1,2.1262,4.2206,0.7515,20405
39,43,12,7,7,12,7,7,21,2,2,0,1,1600,2100,3246,1,4.6875,5.7143,0.6915,20425
33,34,12,12,7,12,3,7,15,1,1,0,1,1969,2450,5517,1,4.063,9.7959,0.5815,32300
42,47,11,14,9,14,7,7,14,1,1,0,1,1960,2375,3463,1,4.5918,8,0.6215,28700
30,33,12,16,9,16,16,12,0,2,3,1,1,240,2830,3486,1,2.0833,5.3004,0.7215,15500
43,46,12,10,10,12,10,7,14,2,2,0,1,997,3317,907,1,2.2668,4.3413,0.7215,16860
43,45,10,7,16,17,7,12,6,1,1,0,1,1848,2024,1568,1,3.6797,10.87,0.5815,31431
35,38,11,16,7,12,10,7,9,3,3,0,1,1224,1694,3952,1,1.3472,9.1499,0.7215,19180
43,45,12,10,7,12,7,3,20,2,2,0,1,1400,2156,306,1,3.2143,6.1224,0.6915,18600
39,40,12,12,10,12,12,7,6,5,5,0,1,640,2250,1272,1,5.175,6.1498,0.7215,19151
45,51,12,7,12,11,7,7,23,0,0,0,0,2000,2024,4262,1,2,6.917,0.6915,18100
35,40,12,12,12,10,7,12,9,4,4,0,1,1324,2123,14812,1,7.5529,4.7103,0.6915,20300
42,48,16,10,9,16,16,7,5,2,2,0,1,2215,4160,1049,1,3.5052,3.131,0.6215,30419
30,35,12,12,3,12,10,3,11,0,0,0,0,1680,2000,850,1,3.5714,4,0.7215,14090
48,52,13,7,16,17,3,3,18,0,0,0,0,1600,2420,2930,1,3.25,7.2227,0.6615,22679
45,53,12,7,7,17,7,7,15,0,0,0,0,800,1150,3014,1,3.25,7.9652,0.7215,12160
31,31,12,12,12,12,7,7,4,1,2,1,1,1955,2024,2636,1,2.1545,4.0884,0.7515,12487
43,43,17,16,7,17,14,3,21,2,2,0,1,660,1904,26,1,3.7879,14.181,0.5815,29850
59,53,12,3,7,16,7,7,31,0,0,0,0,525,2448,2636,1,4,6.5359,0.6915,18100
32,33,12,3,10,13,7,10,9,3,3,0,1,1904,2000,2011,1,4.7269,8.5,0.6615,26000
31,30,17,12,7,17,12,7,7,0,1,1,1,1516,2390,2196,1,7.2559,6.2762,0.6215,26100
42,47,12,12,7,10,12,7,7,0,0,0,0,346,1920,679,1,5.8671,5.2083,0.7215,17730
50,53,11,7,7,10,7,7,32,0,0,0,0,1040,1840,2104,1,1.5385,2.7821,0.7515,6719
59,57,16,3,10,17,3,7,11,0,0,0,0,732,3360,3154,1,2.459,4.9107,0.6915,18550
36,35,13,12,9,13,10,7,16,2,2,0,1,1880,2284,1291,1,5.8511,5.8669,0.6615,24600
51,50,12,7,14,8,14,12,14,1,1,0,1,1680,1875,16984,1,3.5714,7.52,0.6915,23100
