R3M,RD,RL
16.09,8.12,17.51
17.47,8.29,17.58
17.15,8.36,17.67
18.52,8.49,17.71
17.88,8.54,17.67
21.76,8.7,18.36
24.73,8.71,18.71
22.14,8.79,18.95
19.26,9.04,18.69
16.25,9.12,18.31
14.2,8.93,17.88
13.36,8.41,17.25
12.78,8.18,16.92
13.88,7.91,16.49
13.68,7.76,16.64
10.87,7.16,15.73
11.46,6.87,15.27
12.54,6.45,15.21
12.63,6.2,15.13
12.08,6.07,14.82
13.85,6.13,14.98
19.7,6.7,16.67
18.21,7.12,17.13
15.45,7.24,16.31
12.48,6.83,15.29
11.26,6.43,14.42
11.36,6.36,14.06
13.59,6.6,14.61
15.43,6.94,15.43
15.66,7.3,15.97
16.2,7.51,16.6
16.34,7.85,16.84
16.44,8.19,17.09
15.88,8.76,17.06
15.93,8.99,17.13
