edad,mujer,hispano,educ,renta,horassem,semtr,sindic,convlab,region,raza,estciv,exper,sal
52,0,0,12,146000,45,52,0,0,1,1,1,34,62.3931623931624
38,0,0,18,50000,45,52,0,0,1,1,1,14,21.3675213675214
38,0,0,14,32000,40,51,0,0,1,1,1,18,15.6862745098039
41,1,0,13,47000,40,52,0,0,1,1,1,22,22.5961538461538
42,0,0,13,161525,50,52,1,0,1,1,1,23,62.125
66,1,0,13,33000,40,52,0,0,1,1,5,47,15.8653846153846
51,0,0,16,37000,44,52,0,0,1,1,1,29,16.1713286713287
49,1,0,16,37000,44,52,0,0,1,1,1,27,16.1713286713287
33,0,0,16,80000,40,52,0,0,1,1,1,11,38.4615384615385
52,1,0,14,32000,40,52,0,0,1,1,1,32,15.3846153846154
55,0,0,14,46000,40,52,0,0,1,1,5,35,22.1153846153846
51,0,0,12,62000,40,52,0,0,1,1,5,33,29.8076923076923
52,0,0,11,33000,45,52,0,0,1,1,1,35,14.1025641025641
44,0,0,13,26040,40,52,0,0,1,1,1,25,12.5192307692308
59,0,0,16,35000,60,52,1,0,1,1,1,37,11.2179487179487
35,1,0,14,48000,36,52,1,0,1,1,1,15,25.6410256410256
31,0,0,16,26000,40,52,0,0,1,1,1,9,12.5
66,1,0,13,32000,40,52,0,0,1,1,1,47,15.3846153846154
44,0,0,14,80000,40,52,0,0,1,1,1,24,38.4615384615385
41,1,0,14,50000,40,52,0,0,1,1,1,21,24.0384615384615
46,0,0,16,80000,45,52,0,0,1,1,1,24,34.1880341880342
45,1,0,14,90000,45,52,0,0,1,1,1,25,38.4615384615385
24,0,0,13,24000,45,52,0,0,1,1,7,5,10.2564102564103
59,1,0,12,30000,40,52,0,0,1,1,7,41,14.4230769230769
57,0,0,12,32000,40,52,0,0,1,1,1,39,15.3846153846154
33,1,0,14,71000,40,52,0,0,1,1,1,13,34.1346153846154
41,1,0,14,22500,40,52,0,0,1,1,1,21,10.8173076923077
44,0,0,12,21000,40,52,0,0,1,1,1,26,10.0961538461538
39,0,0,20,47000,40,52,0,0,1,1,1,13,22.5961538461538
52,0,0,14,26000,40,52,0,0,1,1,1,32,12.5
34,1,0,13,19240,37,52,0,0,1,1,1,15,10
37,0,0,13,21840,40,52,0,0,1,1,1,18,10.5
37,1,0,13,34843,45,52,0,0,1,1,1,18,14.8901709401709
42,1,0,12,21000,36,52,0,0,1,1,2,24,11.2179487179487
43,0,0,12,50000,40,52,0,0,1,1,1,25,24.0384615384615
64,1,0,12,24176,40,52,0,0,1,7,5,46,11.6230769230769
51,0,0,18,50475,45,52,0,0,1,1,1,27,21.5705128205128
49,1,0,16,44000,40,52,0,0,1,1,4,27,21.1538461538462
50,1,0,12,39643,40,52,0,0,1,1,5,32,19.0591346153846
50,1,0,16,49000,40,52,0,0,1,1,1,28,23.5576923076923
41,0,0,18,56000,55,52,0,0,1,1,1,17,19.5804195804196
21,0,0,12,52000,40,52,0,0,1,1,7,3,25
30,0,0,13,25000,40,52,0,0,1,1,5,11,12.0192307692308
43,1,0,13,34000,40,52,0,0,1,1,5,24,16.3461538461538
62,1,0,16,29300,75,52,0,0,1,1,3,40,7.51282051282051
23,0,0,11,16000,40,52,0,0,1,1,7,6,7.69230769230769
53,1,0,16,42000,55,52,0,0,1,1,1,31,14.6853146853147
58,0,0,12,5000,40,52,0,0,1,1,1,40,2.40384615384615
27,0,0,13,9500,40,52,0,0,1,1,7,8,4.56730769230769
25,1,0,18,30000,40,52,0,0,1,1,7,1,14.4230769230769
41,0,0,14,144000,50,52,0,0,1,1,1,21,55.3846153846154
56,0,0,13,32000,55,52,0,0,1,1,1,37,11.1888111888112
39,0,0,11,4000,60,50,0,0,1,1,5,22,1.33333333333333
43,0,0,12,29000,40,52,0,0,1,1,1,25,13.9423076923077
30,0,0,12,35880,70,52,0,0,1,1,1,12,9.85714285714286
20,1,1,13,8600,40,49,0,0,1,1,7,1,4.38775510204082
41,1,0,18,70500,60,52,0,0,1,1,1,17,22.5961538461538
65,0,0,9,33000,40,48,0,0,1,1,1,50,17.1875
18,1,0,11,26793,50,50,0,0,1,1,7,1,10.7172
30,0,0,12,30000,70,52,0,0,1,1,1,12,8.24175824175824
46,0,0,12,62000,45,52,0,0,1,1,1,28,26.4957264957265
31,0,0,12,37000,40,52,0,0,1,1,1,13,17.7884615384615
29,1,0,12,21000,40,52,0,0,1,1,1,11,10.0961538461538
47,0,0,12,30000,40,52,0,0,1,1,5,29,14.4230769230769
36,0,0,14,24000,40,52,0,0,1,1,1,16,11.5384615384615
41,0,0,12,61340,45,52,0,1,1,1,1,23,26.2136752136752
52,0,0,16,41701,40,52,1,0,1,1,1,30,20.0485576923077
51,1,0,18,181252,44,52,1,0,1,1,1,27,79.2185314685315
45,0,0,12,38000,40,52,0,0,1,1,1,27,18.2692307692308
45,1,0,12,32000,45,52,0,0,1,1,1,27,13.6752136752137
47,0,0,12,40000,40,52,0,0,1,1,5,29,19.2307692307692
38,1,0,16,54435,40,52,0,0,1,1,1,16,26.1706730769231
38,0,0,12,10000,50,52,0,0,1,1,1,20,3.84615384615385
51,1,0,13,35000,40,52,0,0,1,1,5,32,16.8269230769231
54,1,0,14,60000,50,52,0,0,1,1,5,34,23.0769230769231
55,0,0,12,22000,40,52,0,0,1,7,7,37,10.5769230769231
59,0,0,12,40000,40,52,0,0,1,1,1,41,19.2307692307692
44,1,0,9,26000,40,52,0,0,1,1,1,29,12.5
59,0,0,13,25000,40,52,0,0,1,1,1,40,12.0192307692308
26,0,0,16,37000,40,52,0,0,1,1,1,4,17.7884615384615
38,1,0,16,75000,45,52,0,0,1,1,1,16,32.0512820512821
45,0,0,12,58000,40,52,0,0,1,1,1,27,27.8846153846154
28,0,0,16,79000,50,52,0,0,1,1,1,6,30.3846153846154
52,0,0,16,85000,40,52,0,0,1,1,7,30,40.8653846153846
66,0,0,12,10000,50,52,0,0,1,1,5,48,3.84615384615385
28,1,0,18,34000,45,52,0,0,1,1,1,4,14.5299145299145
42,0,0,14,64315,65,52,0,0,1,1,1,22,19.0281065088757
63,0,0,13,85000,60,52,0,0,1,1,1,44,27.2435897435897
45,0,0,16,71000,45,52,0,0,1,1,1,23,30.3418803418803
27,1,0,13,31000,40,52,0,0,1,1,1,8,14.9038461538462
33,0,0,11,49000,40,52,0,0,1,1,1,16,23.5576923076923
22,0,0,9,28000,45,52,0,0,1,7,1,7,11.965811965812
39,0,0,18,60000,45,52,0,0,1,1,1,15,25.6410256410256
41,1,0,16,40000,40,52,0,0,1,1,1,19,19.2307692307692
33,0,0,13,22441,40,50,0,0,1,1,7,14,11.2205
37,1,0,12,22000,36,52,0,0,1,1,1,19,11.7521367521368
37,0,0,12,38000,40,52,0,0,1,1,1,19,18.2692307692308
