obs,C,Y
1959,1840.5,2092.1
1960,1891,2147
1961,1929.9,2222.7
1962,2025.4,2329
1963,2108.8,2416.6
1964,2234.4,2588.2
1965,2376,2748.9
1966,2510.6,2895
1967,2585.6,3020.6
1968,2734,3157.6
1969,2836.2,3264.1
1970,2903,3413.1
1971,3013.8,3570.4
1972,3198.7,3741.1
1973,3357.2,3967.9
1974,3329.5,3923.9
1975,3405.1,4020.6
1976,3595,4144.2
1977,3746.5,4274.3
1978,3911.2,4470.7
1979,4004.1,4558.4
1980,3991.5,4589.8
1981,4050.8,4704.8
1982,4108.4,4803.7
1983,4342.6,4971.2
1984,4571.6,5313.9
1985,4811.9,5476.4
1986,5014,5688
1987,5183.6,5811.1
1988,5400.5,6083.8
1989,5558.1,6268.8
1990,5672.6,6393.6
1991,5685.6,6438.3
1992,5896.5,6714.4
1993,6101.4,6823.9
1994,6338,7010.7
1995,6527.6,7245.9
1996,6755.6,7476.1
1997,7009.9,7751.3
1998,7384.7,8208.3
1999,7775.9,8478.1
2000,8170.7,8902.3
2001,8382.6,9148.8
2002,8598.8,9431.8
2003,8867.6,9691.1
2004,9208.2,10036.7
2005,9531.8,10190.5
2006,9821.7,10596.4
2007,10041.6,10821.6
2008,10007.2,10988.3
2009,9847,10943.7
2010,10036.3,11055.2
2011,10263.5,11331.3
2012,10413.2,11687.8
2013,10565.4,11527.6
2014,10868.9,11931
2015,11214.7,12343.2
