"Date","C","Y"
1964-12-31,164360.565115875,175819.627073898
1965-12-31,174521.522473374,182783.279617819
1966-12-31,186740.485051806,195918.543261619
1967-12-31,196347.846128129,201364.508921168
1968-12-31,207884.976096625,220638.674258815
1969-12-31,225025.348247079,236630.812774684
1970-12-31,233891.939358444,245887.474644316
1971-12-31,246643.647740522,259835.416370303
1972-12-31,266165.12070189,280681.610324163
1973-12-31,285780.825018559,303546.311526276
1974-12-31,301503.45065553,322419.10579049
1975-12-31,306241.06512727,327214.42091989
1976-12-31,321389.766190347,336819.313454616
1977-12-31,326835.788087946,338890.882655605
1978-12-31,329238.356577173,347422.794643427
1979-12-31,332591.167989915,345272.27615354
1980-12-31,335235.777318271,343670.533873316
1981-12-31,328831.430991443,342270.517229415
1982-12-31,329462.915858784,345498.73149405
1983-12-31,330810.928895031,343376.988194886
1984-12-31,332149.406487653,341950.996008966
1985-12-31,339037.573722226,351573.793796778
1986-12-31,351051.600315282,361570.702956102
1987-12-31,371948.30038138,371441.866188884
1988-12-31,390876.687057558,393459.257824483
1989-12-31,411436.547727068,413241.012273145
1990-12-31,425746.335714004,441744.938251365
1991-12-31,437553.406138966,462629.942893829
1992-12-31,446760.757838762,467408.175039176
1993-12-31,436636.180444215,473674.760286293
1994-12-31,442940.762635344,468111.433640398
1995-12-31,448252.231222065,486853.120748319
1996-12-31,459130.230096664,503710.742491101
1997-12-31,472109.173214494,523257.378901186
1998-12-31,492647.509846957,547084.691434834
1999-12-31,516261.811414103,567969.121447085
2000-12-31,539421.479245911,595963.864618617
2001-12-31,560342.772373163,620040.020077807
2002-12-31,577505.560032609,638902.542469639
2003-12-31,591755.762097275,664650.673553489
2004-12-31,616355.940622656,679634.413408446
2005-12-31,642801.591498931,704341.232404536
2006-12-31,669762.223285256,721353.469233983
2007-12-31,693029.30565858,734844.564859926
2008-12-31,686151.836506128,744695.348995053
2009-12-31,656814.407273031,741352.899227279
2010-12-31,659049.668161454,730122.853558897
2011-12-31,641739.729450275,716454.023550222
2012-12-31,619770.653571358,664712.465672939
2013-12-31,601975.303060827,656150.75945995
2014-12-31,612188.433661363,655605.372799588
2015-12-31,630215,682172
2016-12-31,647189.999999996,699429.229234954
2017-12-31,666835.350601556,710941.152250615
2018-12-31,678168.472101429,721102.640419433
2019-12-31,685567.322159093,749681.277624728
2020-12-31,601782.445266742,733411.11679141
2021-12-31,644511.362421414,749751.796025509
2022-12-31,674960.899465354,732678.649099068
