"","X1","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94","female","w"
"1",15,199270459680970,"January","AL",3633.3439,900,39,44,2,NA,36,2,7,3,13,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit","No","No","Employed-At Work",TRUE,23.0769230769231
"2",24,620910090003769,"January","AL",3633.3301,2307.69,40,46,1,NA,49,1,1,2,4,"Native, Born In US",63,"Administration of economic programs and space research (926, 927)",1530,"Government - Federal","No","No","Employed-At Work",FALSE,57.69225
"3",38,911011701039430,"January","AL",2587.6634,1211.53,40,44,1,NA,37,2,5,3,3,"Native, Born In US",63,"Administration of human resource programs (923)",2010,"Government - Federal","No","No","Employed-At Work",TRUE,30.28825
"4",43,954001919079770,"January","AL",2847.5801,826.92,40,44,1,NA,31,2,7,0,0,"Native, Born In US",63,"Elementary and secondary schools (6111)",2310,"Private, For Profit","No","No","Employed-At Work",TRUE,20.673
"5",45,960021970039060,"January","AL",3811.7857,1442.3,50,45,1,NA,57,1,4,0,0,"Native, Born In US",63,"Legal services (5411)",2100,"Private, For Profit","No","No","Employed-At Work",FALSE,28.846
"6",46,960051978039750,"January","AL",3062.3621,500,40,44,2,NA,40,2,7,0,0,"Native, Born In US",63,"Administration of human resource programs (923)",430,"Government - State","No","No","Employed-At Work",TRUE,12.5
"7",50,961709030629000,"January","AL",2859.1224,1211,40,44,1,NA,36,2,1,1,1,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Government - State","No","No","Employed-At Work",TRUE,30.275
"8",77,97953206049188,"January","AL",3414.1067,1730.76,60,44,1,NA,52,2,1,0,0,"Native, Born In US",63,"Home health care services (6216)",3255,"Private, For Profit","No","No","Employed-Absent",TRUE,28.846
"9",89,130003560100156,"January","AL",3296.7986,2884.61,60,45,1,NA,47,1,1,2,10,"Native, Born In US",63,"Offices of physicians (6211)",3060,"Private, For Profit","No","No","Employed-At Work",FALSE,48.0768333333333
"10",105,210312097001502,"January","AL",3136.904,115.38,25,44,2,NA,29,2,7,0,0,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",5700,"Private, For Profit","No","No","Employed-At Work",TRUE,4.6152
"11",125,507001320102921,"January","AL",3296.7986,2000,50,44,1,NA,48,1,1,1,1,"Native, Born In US",63,"Real estate (531)",800,"Private, For Profit","No","No","Employed-At Work",FALSE,40
"12",128,510365013001006,"January","AL",2594.3007,400,20,44,1,NA,36,2,1,2,8,"Native, Born In US",63,"Child day care services (6244)",4600,"Private, Nonprofit","No","No","Employed-At Work",TRUE,20
"13",129,510365013001006,"January","AL",4167.9035,2000,50,44,1,NA,37,1,1,2,8,"Native, Born In US",63,"Air transportation (481)",300,"Private, For Profit","Yes",NA,"Employed-At Work",FALSE,40
"14",133,610584023908997,"January","AL",3039.6392,969,40,45,1,NA,62,1,1,0,0,"Native, Born In US",63,"Justice, public order, and safety activities (922, pt. 92115)",3730,"Government - State","No","No","Employed-At Work",FALSE,24.225
"15",199,678011962039080,"January","AL",2424.1925,1000,56,44,2,NA,57,2,7,0,0,"Native, Born In US",63,"Elementary and secondary schools (6111)",2310,"Private, For Profit","Yes",NA,"Employed-At Work",TRUE,17.8571428571429
"16",210,901969230679009,"January","AL",2671.0752,384,20,44,1,NA,38,2,7,0,0,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit","No","No","Employed-At Work",TRUE,19.2
"17",211,901969230679009,"January","AL",3012.71,320,20,44,4,NA,34,2,7,0,0,"Foreign Born, Not a US Citizen",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit","No","No","Employed-At Work",TRUE,16
"18",269,921899830559007,"January","AL",3805.8535,870,40,44,1,NA,34,1,1,3,11,"Native, Born In US",63,"Justice, public order, and safety activities (922, pt. 92115)",3850,"Government - Local","No","No","Employed-At Work",FALSE,21.75
"19",319,299420555520970,"January","AK",376.1969,1107.69,40,44,1,NA,37,2,1,2,3,"Native, Born In US",94,"Elementary and secondary schools (6111)",2320,"Government - Local","Yes",NA,"Employed-At Work",TRUE,27.69225
"20",401,20902093001906,"January","AK",429.0975,1000,40,44,1,NA,25,2,7,0,0,"Native, Born In US",94,"Elementary and secondary schools (6111)",2310,"Government - State","Yes",NA,"Employed-At Work",TRUE,25
"21",411,51250720790591,"January","AK",376.2633,1538.46,40,44,1,NA,43,2,1,1,4,"Native, Born In US",94,"Colleges and universities, including junior colleges (6112, 6113)",230,"Government - State","No","No","Employed-At Work",TRUE,38.4615
"22",412,51250720790591,"January","AK",374.8012,1250,38,44,1,NA,48,1,1,1,4,"Native, Born In US",94,"Administration of economic programs and space research (926, 927)",1360,"Government - State","Yes",NA,"Employed-At Work",FALSE,32.8947368421053
"23",416,57420720792899,"January","AK",389.2661,1400,38,44,1,NA,39,2,7,0,0,"Foreign Born, Not a US Citizen",94,"Administration of environmental quality and housing programs (924, 925)",1610,"Government - State","Yes",NA,"Employed-At Work",TRUE,36.8421052631579
"24",428,74903008055293,"January","AK",429.0975,1000,40,44,1,NA,28,2,7,0,0,"Native, Born In US",94,"Justice, public order, and safety activities (922, pt. 92115)",2145,"Government - State","No","No","Employed-At Work",TRUE,25
"25",429,75933206026296,"January","AK",478.0921,1730,50,44,1,1,29,2,1,0,0,"Native, Born In US",94,"Hospitals (622)",350,"Private, For Profit","No","No","Employed-At Work",TRUE,34.6
"26",441,95923702037296,"January","AK",418.9967,680,40,46,4,NA,62,2,1,0,0,"Foreign Born, US Cit By Naturalization",94,"Residential care facilities, without nursing (6232, 6233, 6239)",3600,"Government - State","Yes",NA,"Employed-Absent",TRUE,17
"27",637,92913906037428,"January","AZ",2627.104,1250,40,44,2,NA,47,2,1,2,3,"Foreign Born, US Cit By Naturalization",86,"Other health care services (6215, 6219)",3255,"Private, For Profit","No","No","Employed-At Work",TRUE,31.25
"28",651,207004430306994,"January","AZ",3410.8853,2500,40,44,4,NA,51,1,1,0,0,"Foreign Born, US Cit By Naturalization",86,"Computer systems design and related services (5415)",1020,"Private, For Profit","No","No","Employed-At Work",FALSE,62.5
"29",656,235004820400137,"January","AZ",3434.7076,1384.61,40,44,1,NA,62,1,1,0,0,"Native, Born In US",86,"Justice, public order, and safety activities (922, pt. 92115)",2100,"Government - Federal","No","No","Employed-At Work",FALSE,34.61525
"30",702,700409931145569,"January","AZ",4457.2145,1442,60,46,4,NA,57,1,1,3,5,"Native, Born In US",86,"Hospitals (622)",3060,"Private, For Profit","No","Yes","Employed-At Work",FALSE,24.0333333333333
"31",703,700409931145569,"January","AZ",3939.9377,1730,60,46,4,NA,39,2,1,3,5,"Native, Born In US",86,"Hospitals (622)",3060,"Private, For Profit","No","Yes","Employed-At Work",TRUE,28.8333333333333
"32",752,29034246030940,"January","AZ",4424.1187,1788.46,55,45,1,NA,33,2,1,0,0,"Native, Born In US",86,"Veterinary services (54194)",3250,"Private, For Profit","No","No","Employed-At Work",TRUE,32.5174545454545
"33",753,29034246030940,"January","AZ",4773.3172,1884.61,45,44,1,NA,34,1,1,0,0,"Native, Born In US",86,"Aerospace products and parts manufacturing (336414, 336415, 336419)",1320,"Private, For Profit","No","No","Employed-At Work",FALSE,41.8802222222222
