EDUC,EXPER,MUJER,SALARIO
11,2,1,3.1
12,22,1,3.24
11,2,0,3
8,44,0,6
12,7,0,5.3
16,9,0,8.75
18,15,0,11.25
12,5,1,5
12,26,1,3.6
17,22,0,18.18
16,8,1,6.25
13,3,1,8.13
12,15,0,8.77
12,18,0,5.5
12,31,0,22.2
16,14,0,17.33
12,10,1,7.5
13,16,1,10.63
12,13,1,3.6
12,36,1,4.5
12,11,1,6.88
12,29,0,8.48
16,9,1,6.33
12,3,1,0.53
11,37,1,6
16,3,0,9.56
16,11,0,7.78
16,31,0,12.5
15,30,0,12.5
8,9,1,3.25
14,23,0,13
14,2,1,4.5
13,16,1,9.68
12,7,1,5
12,3,1,4.68
16,22,1,4.27
12,15,1,6.15
4,39,0,3.51
14,3,1,3
12,11,1,6.25
12,3,1,7.81
12,20,1,10
14,16,1,4.5
11,45,1,4
13,11,1,6.38
15,20,0,13.7
10,1,0,1.67
12,36,1,2.93
14,9,0,3.65
12,15,1,2.9
12,18,1,1.63
16,3,1,8.6
12,15,0,5
12,7,0,6
12,2,0,2.5
15,3,0,3.25
16,1,1,3.4
8,13,0,10
18,8,1,21.63
16,7,0,4.38
13,40,1,11.71
14,42,0,12.39
10,36,0,6.25
10,13,1,3.71
14,9,0,7.78
14,26,0,19.98
16,7,1,6.25
12,25,0,10
16,10,0,5.71
12,3,1,2
16,3,1,5.71
17,17,0,13.08
12,17,0,4.91
12,20,1,2.91
12,7,1,3.75
13,24,0,11.9
12,28,1,4
12,2,1,3.1
12,19,0,8.45
18,13,0,7.14
9,22,0,4.5
16,3,0,4.65
10,4,1,2.9
12,7,0,6.67
12,6,1,3.5
12,13,1,3.26
12,14,1,3.25
12,14,1,8
8,40,0,9.85
12,11,0,7.5
12,14,0,5.91
14,40,0,11.76
12,1,1,3
12,2,1,4.81
12,4,1,6.5
9,19,1,4
13,1,0,3.5
12,34,0,13.16
14,5,0,4.25
12,3,0,3.5
15,6,1,5.13
12,14,1,3.75
12,35,1,4.5
12,8,1,7.63
14,7,0,15
15,11,1,6.85
12,14,0,13.33
12,35,0,6.67
12,46,1,2.53
17,7,0,9.8
11,45,0,3.37
18,29,0,24.98
12,6,0,5.4
14,15,0,6.11
14,33,1,4.2
10,15,0,3.75
14,5,1,3.5
12,7,0,3.64
15,6,0,3.8
8,33,1,3
16,2,1,5
14,4,1,4.63
15,1,0,3
12,29,1,3.2
18,17,0,3.91
16,17,1,6.43
10,36,1,5.48
8,31,0,1.5
10,23,1,2.9
11,13,0,5
18,3,0,8.92
15,15,0,5
12,48,0,3.52
11,6,1,2.9
12,12,0,4.5
12,5,1,2.25
14,19,0,5
16,9,0,10
2,39,0,3.75
14,28,1,10
16,23,0,10.95
12,2,0,7.9
12,15,1,4.72
13,5,1,5.84
12,18,1,3.83
15,2,1,3.2
10,3,1,2
12,31,1,4.5
16,20,1,11.55
13,34,1,2.14
9,5,0,2.38
12,11,0,3.75
13,31,0,5.52
12,8,1,6.5
12,2,1,3.1
14,18,0,10
16,3,0,6.63
16,3,0,10
9,4,1,2.31
18,4,0,6.88
10,1,0,2.83
10,1,1,3.13
13,28,0,8
12,47,1,4.5
18,13,1,8.65
13,2,1,2
12,48,1,4.75
13,6,1,6.25
13,8,0,6
13,25,0,15.38
18,13,1,14.58
12,8,0,12.5
12,19,1,5.25
13,1,1,2.17
12,43,1,7.14
12,19,1,6.22
12,11,1,9
14,43,0,10
10,44,0,5.77
12,22,1,4
16,3,0,8.75
16,3,1,6.53
12,41,1,7.6
14,5,0,5
12,14,1,5
12,24,0,21.86
12,28,0,8.64
12,25,0,3.3
12,3,0,4.44
12,11,0,4.55
12,7,1,3.5
16,9,0,6.25
16,5,0,3.85
14,9,1,6.18
11,1,1,2.91
16,2,1,6.25
12,13,1,6.25
12,10,0,9.05
17,5,0,10
12,30,0,11.11
12,31,0,6.88
16,1,0,8.75
8,9,0,10
12,10,1,3.05
12,38,1,3
12,19,1,5.8
16,5,1,4.1
12,26,0,8
12,35,1,6.15
9,2,1,2.7
13,1,1,2.75
16,19,1,3
14,3,1,3
8,36,0,7.36
14,29,0,7.5
13,1,0,3.5
12,38,1,8.1
18,1,0,3.75
9,29,0,3.25
8,36,1,5.83
8,4,0,3.5
12,45,1,3.33
14,22,1,4
12,20,1,3.5
16,5,0,6.25
8,15,1,2.95
13,10,1,5.71
9,3,1,3
16,16,0,22.86
12,38,0,9
15,33,0,8.33
11,2,0,3
14,6,0,5.75
12,19,0,6.76
12,29,0,10
12,2,0,3
18,3,1,3.5
12,4,0,3.25
12,10,1,4
12,4,1,2.92
12,14,1,3.06
12,15,1,3.2
12,19,0,4.75
14,17,1,3
16,29,0,18.16
12,2,1,3.5
14,5,0,4.11
11,38,1,1.96
12,3,1,4.29
10,47,0,3
12,7,0,6.45
6,47,0,5.2
13,23,1,4.5
12,12,0,3.88
10,11,1,3.45
12,25,0,10.91
14,6,1,4.1
13,3,0,3
12,14,0,5.9
18,13,1,18
12,9,0,4
12,1,0,3
12,6,1,3.55
12,11,1,3
12,47,0,8.75
8,49,1,2.9
13,37,1,6.26
13,2,1,3.5
14,7,1,4.6
12,22,0,6
10,8,1,2.89
16,1,0,5.58
12,43,1,4
16,2,0,6
12,2,1,4.5
14,1,0,2.92
18,1,0,4.33
17,26,0,18.89
13,1,1,4.28
14,37,1,4.57
15,12,1,6.25
14,41,0,2.95
12,24,0,8.75
8,38,0,8.5
12,18,1,3.75
12,26,0,3.15
8,45,0,5
12,27,0,6.46
9,2,0,2
12,41,0,4.79
16,11,0,5.78
12,5,1,3.18
16,3,1,4.68
12,3,1,4.1
12,4,0,2.91
13,21,0,6
10,34,1,3.6
6,49,0,3.95
12,6,0,7
12,26,1,3
16,9,0,6.08
12,23,0,8.63
8,33,0,3
12,5,1,3.75
6,49,0,2.9
4,48,0,3
11,35,0,6.25
11,23,1,3.5
7,26,1,3
12,16,1,3.24
18,23,1,8.02
12,36,1,3.33
16,4,0,5.25
12,10,0,6.25
14,18,0,3.5
12,3,0,2.95
10,7,1,3
10,7,0,4.69
9,33,1,3.73
10,34,0,4
12,8,1,4
12,17,1,2.9
12,2,1,3.05
10,5,1,5.05
16,41,0,13.95
16,35,0,18.16
16,11,0,6.25
12,4,0,5.25
12,12,1,4.79
7,35,1,3.35
8,33,0,3
16,8,0,8.43
16,2,0,5.7
18,8,0,11.98
13,29,1,3.5
10,14,0,4.24
16,26,1,7
14,11,1,6
16,10,0,12.22
12,13,0,4.5
9,23,1,3
11,1,0,2.9
11,35,0,15
12,5,0,4
11,13,0,5.25
12,22,0,4
12,21,1,3.3
12,19,1,5.05
12,13,0,3.58
14,15,0,5
14,3,0,4.57
18,6,0,12.5
12,6,1,3.45
12,16,1,4.63
12,31,0,10
11,1,1,2.92
12,5,0,4.51
17,3,0,6.5
16,11,0,7.5
13,6,1,3.54
13,11,1,4.2
12,7,1,3.51
14,5,0,4.5
14,5,1,3.35
11,2,0,2.91
10,44,0,5.25
8,44,0,4.05
14,13,1,3.75
12,26,1,3.4
10,2,1,3
17,10,0,6.29
9,2,1,2.54
12,35,1,4.5
12,6,1,3.13
14,8,0,6.36
16,1,0,4.68
12,14,0,6.8
10,14,0,8.53
0,22,1,4.17
14,8,1,3.75
15,1,1,11.1
16,15,1,3.26
12,14,0,9.13
11,37,0,4.5
11,1,1,3
12,4,0,8.75
13,29,1,4.14
12,45,1,2.87
13,22,1,3.35
16,42,0,6.08
15,9,0,3
16,8,1,4.2
15,31,1,5.6
12,24,0,10
18,16,0,12.5
6,6,0,3.76
6,14,1,3.1
12,47,1,4.29
12,34,0,10.92
16,6,1,7.5
9,7,1,4.05
12,27,0,4.65
11,24,0,5
10,18,1,2.9
12,12,1,8
8,27,0,8.43
9,49,1,2.92
17,4,1,6.25
16,24,1,6.25
11,3,0,5.11
10,2,1,4
8,29,0,4.44
13,34,0,6.88
14,10,0,5.43
13,5,1,3
11,2,1,2.9
7,39,0,6.25
16,5,1,4.34
12,14,1,3.25
13,8,0,7.26
14,10,1,6.35
16,2,0,5.63
14,9,0,8.75
11,1,0,3.2
8,45,1,3
14,33,1,3
17,21,0,12.5
10,2,1,2.88
12,9,0,3.35
12,33,0,6.5
18,16,0,10.38
14,10,0,4.5
18,9,0,10
12,8,1,3.81
16,9,0,8.8
14,23,1,9.42
12,23,0,6.33
9,22,0,4
12,37,1,2.9
12,22,0,20
17,28,0,11.25
12,14,1,3.5
15,19,1,6
17,10,0,14.38
16,25,0,6.36
12,21,1,3.55
15,32,0,3
16,21,0,4.5
12,36,1,6.63
15,2,0,9.3
12,11,1,3
12,40,1,3.25
12,11,1,1.5
12,9,1,5.9
16,23,0,8
11,1,1,2.9
14,30,0,3.29
14,41,0,6.5
13,6,1,4
14,11,0,6
12,43,1,4.08
12,39,1,3.75
8,50,1,3.05
12,26,1,3.5
3,51,0,2.92
11,3,0,4.5
15,3,1,3.35
11,15,0,5.95
12,17,0,8
4,36,0,3
9,31,0,5
12,9,0,5.5
12,42,1,2.65
11,3,1,3
12,37,1,4.5
16,23,0,17.5
13,21,0,8.18
15,11,0,9.09
16,35,0,11.82
12,42,1,3.25
12,3,0,4.5
12,13,0,4.5
9,14,0,3.71
10,14,0,6.5
12,39,1,2.9
11,11,0,5.6
8,28,0,2.23
6,18,1,5
16,6,0,8.33
12,26,1,2.9
12,21,0,6.25
16,34,0,4.55
12,17,1,3.28
10,2,1,2.3
13,5,1,3.3
13,1,1,3.15
14,40,0,12.5
16,39,1,5.15
10,1,0,3.13
12,14,0,7.25
12,2,1,2.9
11,2,0,1.75
0,42,1,2.89
5,34,1,2.9
16,10,0,17.71
16,4,0,6.25
9,4,0,2.6
15,21,1,6.63
12,31,1,3.5
12,20,0,6.5
12,36,1,3
13,7,0,4.38
12,15,0,10
7,25,0,4.95
17,7,1,9
12,17,1,1.43
12,3,0,3.08
14,12,0,9.33
12,18,0,7.5
13,47,0,4.75
12,2,0,5.65
16,14,1,15
10,2,1,2.27
15,13,0,4.67
16,5,0,11.56
14,5,1,3.5
