date;R3M;RD;RL
1982-01-01;16.09;8.12;17.51
1982-04-01;17.47;8.29;17.58
1982-07-01;17.15;8.36;17.67
1982-10-01;18.52;8.49;17.71
1983-01-01;17.88;8.54;17.67
1983-04-01;21.76;8.7;18.36
1983-07-01;24.73;8.71;18.71
1983-10-01;22.14;8.79;18.95
1984-01-01;19.26;9.04;18.69
1984-04-01;16.25;9.12;18.31
1984-07-01;14.2;8.93;17.88
1984-10-01;13.36;8.41;17.25
1985-01-01;12.78;8.18;16.92
1985-04-01;13.88;7.91;16.49
1985-07-01;13.68;7.76;16.64
1985-10-01;10.87;7.16;15.73
1986-01-01;11.46;6.87;15.27
1986-04-01;12.54;6.45;15.21
1986-07-01;12.63;6.2;15.13
1986-10-01;12.08;6.07;14.82
1987-01-01;13.85;6.13;14.98
1987-04-01;19.7;6.7;16.67
1987-07-01;18.21;7.12;17.13
1987-10-01;15.45;7.24;16.31
1988-01-01;12.48;6.83;15.29
1988-04-01;11.26;6.43;14.42
1988-07-01;11.36;6.36;14.06
1988-10-01;13.59;6.6;14.61
1989-01-01;15.43;6.94;15.43
1989-04-01;15.66;7.3;15.97
1989-07-01;16.2;7.51;16.6
1989-10-01;16.34;7.85;16.84
1990-01-01;16.44;8.19;17.09
1990-04-01;15.88;8.76;17.06
1990-07-01;15.93;8.99;17.13
